Assay	term	contrast	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	y_position	label	x_offset	x_pos
TRAIL	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.5492853310589737	0.1259498426323993	1228.0759972052463	4.361143448683244	1.4022096442005194e-5	7.226772781648832e-5	7	Anakinra.No	Anakinra.Yes	0.41434210954982476	-0.1349432215091489	0.6143421095498247	***	-0.15	2.85
CXCL9	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.4892654939984971	0.12394689245221667	1100.0766994546423	-3.947380078021045	8.402655590251555e-5	0.001876593081822847	1	Anakinra.No	Anakinra.Yes	-0.009534691954462132	0.47973080204403495	0.6797308020440349	**	-0.15	0.85
CXCL9	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.34293017875371357	0.12658933427713204	1142.9708316774272	-2.7089974105003476	0.006849527031203202	0.018356732443624582	4	Anakinra.No	Anakinra.Yes	-0.12412855481259179	0.2188016239411218	0.4188016239411218	*	-0.15	1.85
CXCL9	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6548320553837884	0.1258163764174078	1129.5381971046404	-5.204664718774929	2.307150599056711e-7	1.7175454459644405e-6	7	Anakinra.No	Anakinra.Yes	-0.03420433546696415	0.6206277199168243	0.8206277199168244	***	-0.15	2.85
CST5	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.5122542656653286	0.127502419121795	916.2526383028195	4.017604286990073	6.361405080433583e-5	3.8746740035368186e-4	4	Anakinra.No	Anakinra.Yes	-0.0016082106350771772	-0.5138624763004058	0.19839178936492283	***	-0.15	1.85
CST5	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.43777357905783776	0.12696280004069996	905.3472238097219	3.4480460333066256	5.90680381326996e-4	0.001978779277445437	7	Anakinra.No	Anakinra.Yes	0.21681019740646912	-0.22096338165136867	0.41681019740646913	**	-0.15	2.85
CD6	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.4423939377567601	0.12513393323861513	1102.822368993411	3.535363480608964	4.241079762690696e-4	0.0014955386531593506	7	Anakinra.No	Anakinra.Yes	0.3842156726456942	-0.05817826511106593	0.5842156726456942	**	-0.15	2.85
SCF	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.3070467117766822	0.12444229919975468	1019.7580657423296	2.467382182354338	0.013773847956074593	0.03295885046632135	4	Anakinra.No	Anakinra.Yes	0.051325363200734136	-0.2557213485759481	0.2513253632007342	*	-0.15	1.85
SCF	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.3002049745650317	0.12380169947482146	1007.0792682672511	2.424885731282605	0.015488244017182169	0.032428510910975164	7	Anakinra.No	Anakinra.Yes	0.07274102651017869	-0.22746394805485304	0.27274102651017873	*	-0.15	2.85
SLAMF1	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	0.33033035393599	0.12752007458022563	1182.4237767657505	2.5904184499842966	0.009703836934226174	0.04643979104236812	1	Anakinra.No	Anakinra.Yes	0.2674908235917378	-0.06283953034425215	0.4674908235917378	*	-0.15	0.85
SLAMF1	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.38353880271814833	0.13047445544352324	1223.3151347897137	2.939570059245549	0.003348403949658656	0.009754046288136085	4	Anakinra.No	Anakinra.Yes	0.10023019813819857	-0.2833086045799498	0.30023019813819857	**	-0.15	1.85
MCP-4	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	0.4162495372962474	0.12378487642845452	885.2774230430502	3.3626849200502478	8.049843386798046e-4	0.00899127294058446	1	Anakinra.No	Anakinra.Yes	-0.18034870405559078	-0.5965982413518383	0.01965129594440923	**	-0.15	0.85
CCL11	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.513796444243029	0.12787175594611228	1085.4381667605992	4.018060442210187	6.272500077089602e-5	3.8746740035368186e-4	4	Anakinra.No	Anakinra.Yes	0.12084031818972384	-0.39295612605330504	0.32084031818972386	***	-0.15	1.85
CCL11	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.47660257661352323	0.1271462379586203	1072.1592695429044	3.748459917222509	1.874207516109786e-4	7.38658256349151e-4	7	Anakinra.No	Anakinra.Yes	0.30790390319985256	-0.1686986734136707	0.5079039031998526	***	-0.15	2.85
IL-10RB	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.34395980417077354	0.12586468515390897	1003.1357682513715	2.732774516935986	0.006390733402399417	0.017840797415031705	4	Anakinra.No	Anakinra.Yes	0.06297901681902862	-0.28098078735174487	0.26297901681902863	*	-0.15	1.85
