term	estimate	std.error	statistic	p.value	conf.low	conf.high
IL6	1.8221954658180564	0.10937117438672087	5.486290856418329	4.104608643294003e-8	1.4706118096548269	2.257833300296444
PD.L1	1.5012402836962915	0.11233538151444568	3.6167734223300907	2.9829819854602436e-4	1.20456477640092	1.870984801769105
TNFB	0.7566602197073999	0.10896485885848317	-2.5589991153360896	0.010497400853988518	0.6111528567626724	0.9368109495886423
anakinra	0.6354698462592581	0.2296113331522682	-1.9746004349980815	0.0483135096659299	0.40518133078498025	0.9966449459120402
Age	1.000113193517146	0.009323196377750975	0.012140376181852677	0.9903136192266451	0.9820039561105779	1.0185563852600554
cbmi	1.0435631526796831	0.019454714062476407	2.1918063469919216	0.02839349263283776	1.004520614154918	1.0841231511679157
GenderMale	1.1847716296933908	0.2311181211333636	0.7336077224274552	0.4631878530035426	0.7531934675695742	1.8636431076012638
DEXcorrectedYes	6.81534828495912	0.5947542250816543	3.226840749592768	0.0012516510086249756	2.1243806661504068	21.86471237730922
anakinra:late	0.5578801298434285	0.8470799684092727	-0.6889681995942627	0.49084327968678576	0.10604864332339797	2.9347875608838896
