Assay	term	Day1	SRF1	Day2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	y_position	label	x_offset	x_pos
TRANCE	Day*srf14	Day4	No	Day4	Yes	0	0.44188220383644217	0.09501746404590593	1231.0816451574615	4.6505367015789325	3.667888442722908e-6	8.711235051466907e-6	4	No	Yes	0.1477177782931431	-0.294164425543299	0.3477177782931431	***	0.15	2.15
TRANCE	Day*srf14	Day7	No	Day7	Yes	0	0.7533840254944155	0.0949311359881486	1230.258929823824	7.9361109255921	4.663199246568042e-15	2.9533595228264266e-14	7	No	Yes	0.5603149500876207	-0.19306907540679488	0.7603149500876207	***	0.15	3.15
HGF	Day*srf14	Day4	No	Day4	Yes	0	-0.48604882682344464	0.10527845068220067	1246.3007030323918	-4.616793120281171	4.300314816609426e-6	9.0784423906199e-6	4	No	Yes	-0.1435496864695474	0.3424991403538973	0.5424991403538972	***	0.15	2.15
HGF	Day*srf14	Day7	No	Day7	Yes	0	-0.5517819158538394	0.1051821289985752	1245.5376057070005	-5.245966411854184	1.8254670998414183e-7	3.1530795360897224e-7	7	No	Yes	-0.07100629582035935	0.48077562003348007	0.68077562003348	***	0.15	3.15
IL-12B	Day*srf14	Day4	No	Day4	Yes	0	0.18954273998161997	0.08584704618226151	1191.3810626357158	2.207912192799302	0.027440345268237864	0.03258541000603246	4	No	Yes	0.17752707798026982	-0.012015662001350154	0.37752707798026985	*	0.15	2.15
IL-12B	Day*srf14	Day7	No	Day7	Yes	0	0.40996473951914036	0.08577066516439102	1190.4127524152873	4.779778013069944	1.9738555780817466e-6	3.1252713319627654e-6	7	No	Yes	0.1512357734540061	-0.25872896606513424	0.35123577345400614	***	0.15	3.15
CD5	Day*srf14	Day4	No	Day4	Yes	0	0.23523686965515614	0.10054970728327796	1193.8087988306524	2.3395082493122037	0.019473306838180677	0.024666188661695523	4	No	Yes	0.15845826760491755	-0.07677860205023859	0.35845826760491756	*	0.15	2.15
CD5	Day*srf14	Day7	No	Day7	Yes	0	0.5384111366427766	0.10046011992860378	1192.8489345864823	5.3594514621864	1.0013014354736574e-7	2.1138585859999436e-7	7	No	Yes	0.5501056635745076	0.011694526931730995	0.7501056635745076	***	0.15	3.15
Flt3L	Day*srf14	Day4	No	Day4	Yes	0	0.26503438061436985	0.09964464559751623	1261.482404024131	2.6597955065733725	0.00791788158480871	0.010745696436526108	4	No	Yes	0.2074450391640787	-0.05758934145029115	0.4074450391640787	*	0.15	2.15
Flt3L	Day*srf14	Day7	No	Day7	Yes	0	0.4482921130154097	0.09955289089242442	1260.7805443610828	4.503054697827193	7.318226916086273e-6	9.269754093709279e-6	7	No	Yes	0.5345979242437595	0.08630581122834981	0.7345979242437595	***	0.15	3.15
DNER	Day*srf14	Day4	No	Day4	Yes	0	0.3651870763264764	0.10049370115874781	1088.1924318744473	3.633930008703709	2.9216929889136473e-4	5.046560617214482e-4	4	No	Yes	0.09255288188879511	-0.2726341944376813	0.29255288188879514	***	0.15	2.15
DNER	Day*srf14	Day7	No	Day7	Yes	0	0.630028141002193	0.10041074067129023	1086.9327212511646	6.274509447795884	5.056050953755739e-10	1.3723566874479862e-9	7	No	Yes	0.45997761835535483	-0.17005052264683812	0.6599776183553548	***	0.15	3.15
EN-RAGE	Day*srf14	Day4	No	Day4	Yes	0	-0.6550645789870042	0.1039808626781453	1260.2971796452387	-6.299857128658789	4.1084306178693164e-10	1.5612036347903402e-9	4	No	Yes	-0.18809990946089258	0.46696466952611165	0.6669646695261117	***	0.15	2.15
EN-RAGE	Day*srf14	Day7	No	Day7	Yes	0	-0.45370469680225045	0.1038851612364376	1259.5904811732653	-4.367367691422652	1.360718349290505e-5	1.6158530397824745e-5	7	No	Yes	0.04192115122298988	0.49562584802524035	0.6956258480252404	***	0.15	3.15
CCL25	Day*srf14	Day4	No	Day4	Yes	0	0.4059060393550291	0.10405951293242369	1031.2145237908608	3.9007105445383425	1.021216960246488e-4	1.940312224468327e-4	4	No	Yes	0.1035325520763806	-0.30237348727864855	0.30353255207638064	***	0.15	2.15
CCL25	Day*srf14	Day7	No	Day7	Yes	0	0.48199839818398693	0.10397835922510036	1029.8601056481816	4.63556457109041	4.016322383856455e-6	5.870009637944049e-6	7	No	Yes	0.1002713095690686	-0.3817270886149183	0.3002713095690686	***	0.15	3.15
TNFB	Day*srf14	Day1	No	Day1	Yes	0	0.28119771736693194	0.09510209058084146	1081.3112567228281	2.9567984851805127	0.0031760301670131063	0.008620653310464146	1	No	Yes	0.27410425502595925	-0.007093462340972686	0.47410425502595926	**	0.15	1.15
TNFB	Day*srf14	Day4	No	Day4	Yes	0	0.4873549732688166	0.0972060606617836	1127.8712840351382	5.013627442063593	6.198667685575041e-7	1.9019951752627663e-6	4	No	Yes	0.3274126151174383	-0.1599423581513783	0.5274126151174383	***	0.15	2.15
TNFB	Day*srf14	Day7	No	Day7	Yes	0	0.6262569712427233	0.09712315212961233	1126.7068078124616	6.448070902877759	1.677056499802269e-10	5.310678916040519e-10	7	No	Yes	0.39380443531248976	-0.2324525359302335	0.5938044353124898	***	0.15	3.15
