Assay	UniProt	Day	n_no	n_yes	median_no	median_yes	save_diff	save_p	save_p_adj
4E-BP1	Q13541	1	125	18	3.2041	2.6788	-0.5253000000000001	0.23175083892289172	0.7310991549330832
4E-BP1	Q13541	7	127	16	3.6215	3.1274499999999996	-0.49405000000000054	0.15605254250423184	0.2806853112045643
ADA	P00813	1	135	18	1.2257	1.06085	-0.16484999999999994	0.7662419131264209	0.919490295751705
ADA	P00813	7	131	16	1.1163	0.9734	-0.14290000000000003	0.8887061811865339	0.9023785839740189
AXIN1	O15169	1	128	18	1.93655	1.35775	-0.5788	0.042683732354229065	0.36495339827895357
AXIN1	O15169	7	128	18	2.1231999999999998	2.14095	0.017750000000000377	0.545725096151934	0.6670068044787723
CASP-8	Q14790	1	131	18	4.4333	4.17	-0.2633000000000001	0.6601077720948663	0.889124754250228
CASP-8	Q14790	7	132	18	4.434699999999999	4.538	0.10330000000000084	0.7264193404572212	0.8266151115547691
CCL11	P51671	1	135	18	0.0027	-0.3064	-0.3091	0.13418613872338914	0.5535178222339802
CCL11	P51671	7	131	16	0.3481	0.3292	-0.018900000000000028	0.873983705486445	0.9012956962828964
CCL19	Q99731	1	132	18	2.3684000000000003	2.3158000000000003	-0.05259999999999998	0.7504211185256953	0.917181367086961
CCL19	Q99731	7	128	18	2.0606	2.23125	0.1706500000000002	0.3393971192062835	0.485099383967086
CCL20	P78556	1	135	18	0.4079	0.50715	0.09925	0.5167363042870841	0.8378096106083861
CCL20	P78556	7	131	16	-0.3533	0.608	0.9613	6.439226380304919e-5	5.827053847646277e-4
CCL23	P55773	1	125	16	2.2209	2.3691500000000003	0.14825000000000044	0.4606467382327484	0.8378096106083861
CCL23	P55773	7	121	18	1.8507	2.1540999999999997	0.30339999999999967	0.012312509349878636	0.035331548569216956
CCL25	O15444	1	135	18	0.3023	0.36265000000000003	0.060350000000000015	0.7490098868457566	0.917181367086961
CCL25	O15444	7	131	16	0.2572	0.2878	0.030600000000000016	0.523791752001562	0.6670068044787723
CCL3	P10147	1	128	18	1.4182000000000001	1.2386	-0.1796000000000002	0.2880087580039419	0.7310991549330832
CCL3	P10147	7	128	18	1.53155	1.90415	0.37260000000000004	0.0190147019113698	0.050198813046016276
CCL4	P13236	1	125	16	0.9623	0.91425	-0.04805000000000004	0.24329170541283296	0.7310991549330832
CCL4	P13236	7	121	18	1.1157	2.12605	1.0103500000000003	2.456455938630329e-4	0.0014738735631781975
CD244	Q9BZW8	1	135	18	0.517	0.5088	-0.008199999999999985	0.2806977530175965	0.7310991549330832
CD244	Q9BZW8	7	131	16	0.5651	0.1945	-0.37060000000000004	0.023009760767038978	0.05840939271632971
CD40	P25942	1	125	16	0.869	0.8882	0.019199999999999995	0.5177754165588724	0.8378096106083861
CD40	P25942	7	121	18	1.0536	1.41445	0.3608499999999999	0.015861244014287602	0.04361842103929091
CD5	P06127	1	131	18	1.3087	0.70015	-0.6085499999999999	0.00536589227359574	0.17707444502865943
CD5	P06127	7	132	18	1.79785	0.53515	-1.2627	7.006890683092237e-5	5.827053847646277e-4
CD6	P30203	1	135	18	-0.182	-0.4157	-0.23370000000000002	0.11477767935022487	0.5133611691774267
CD6	P30203	7	131	16	0.3478	-0.91895	-1.26675	0.0011805676856455616	0.00599365132712362
CD8A	P01732	1	132	18	0.43005	-0.48355000000000004	-0.9136	0.3593209244654274	0.8259404130934458
CD8A	P01732	7	128	18	0.96265	-0.0208	-0.98345	0.0082209094636716	0.02583714402868217
CDCP1	Q9H5V8	1	129	18	1.4288	1.5882999999999998	0.15949999999999975	0.1166729929948697	0.5133611691774267
CDCP1	Q9H5V8	7	128	17	1.2362	1.393	0.15680000000000005	0.21104814079527492	0.3482294323122036
CSF-1	P09603	1	125	16	1.8263	1.88785	0.061549999999999994	0.8175015569068621	0.9503358407798186
CSF-1	P09603	7	121	18	0.8305	1.3851499999999999	0.5546499999999999	0.0014383046219696581	0.0063285403366664965
CST5	P28325	1	129	18	-0.4768	-0.53485	-0.058050000000000046	0.8848881058612896	0.9574199178171331
CST5	P28325	7	128	17	-0.12445	-0.2194	-0.09495	0.18535722517809017	0.32193623320405135
CX3CL1	P78423	1	129	18	1.1423	1.45115	0.30884999999999985	0.2834857510089053	0.7310991549330832
CX3CL1	P78423	7	128	17	0.84655	1.497	0.6504500000000001	1.7538100137690218e-4	0.0011575146090875544
CXCL1	P09341	1	125	16	3.0459	2.49715	-0.5487500000000001	0.7037477844336388	0.9107324269141209
CXCL1	P09341	7	121	18	2.5414	2.71795	0.1765500000000002	0.46487506940946366	0.6261582567556041
CXCL10	P02778	1	125	16	4.7249	5.6362000000000005	0.9113000000000007	2.2522243369319493e-4	0.014864680623750865
CXCL10	P02778	7	121	18	2.5584	4.32885	1.7704500000000003	9.064008938929588e-6	1.9940819665645093e-4
CXCL11	O14625	1	132	18	5.0837	4.806	-0.2777000000000003	0.4298628982674958	0.8378096106083861
CXCL11	O14625	7	128	18	4.1648499999999995	4.5569500000000005	0.392100000000001	0.11957792846352525	0.22548980795979046
CXCL5	P42830	1	125	18	2.6432	1.8782999999999999	-0.7649000000000004	0.07707315859601738	0.4557079327181095
CXCL5	P42830	7	127	16	3.049	2.0193	-1.0297	0.012171109062918184	0.035331548569216956
CXCL6	P80162	1	135	18	2.8652	2.3982	-0.4670000000000001	0.26826498140869326	0.7310991549330832
CXCL6	P80162	7	131	16	2.8962	2.79795	-0.09824999999999973	0.7724187568655887	0.8549005168304107
CXCL9	Q07325	1	125	16	1.5102	1.73	0.2198	0.2156037606572661	0.7310991549330832
CXCL9	Q07325	7	121	18	1.5397	2.25665	0.71695	0.0015851705831090692	0.006538828655324911
DNER	Q8NFT8	1	125	16	-0.2055	-0.24264999999999998	-0.03714999999999999	0.6235884413353332	0.875677385704936
DNER	Q8NFT8	7	121	18	-0.3498	-0.4507	-0.10089999999999999	0.3988018986354136	0.5483526106236937
EN-RAGE	P80511	1	127	18	1.472	1.47695	0.00495000000000001	0.7347707389132201	0.917181367086961
EN-RAGE	P80511	7	124	17	1.5865	1.6846	0.09810000000000008	0.09032345639894847	0.19502123128454796
FGF-19	O95750	1	125	16	-0.101	0.0748	0.1758	0.8225555090586927	0.9503358407798186
FGF-19	O95750	7	121	18	-0.104	-0.34165	-0.23765000000000003	0.5202139548833089	0.6670068044787723
FGF-21	Q9NSA1	1	131	18	1.7365	1.1724999999999999	-0.5640000000000001	0.6184760689190625	0.875677385704936
FGF-21	Q9NSA1	7	132	18	1.30485	0.9733499999999999	-0.33150000000000013	0.3428907199634541	0.485099383967086
Flt3L	P49771	1	135	18	-0.4987	-0.48995	0.00874999999999998	0.5540133100610416	0.8378096106083861
Flt3L	P49771	7	131	16	-0.349	-1.7515999999999998	-1.4025999999999998	1.3923703519869157e-4	0.0010210715914570714
HGF	P14210	1	135	18	2.7468	3.4158	0.669	0.47728584432916166	0.8378096106083861
HGF	P14210	7	131	16	2.4987	3.4263	0.9276	0.11776229202424351	0.22548980795979046
IFN-gamma	P01579	1	131	15	3.5576	3.0631	-0.49449999999999994	0.5213153791166485	0.8378096106083861
IFN-gamma	P01579	7	130	17	0.8712500000000001	1.327	0.4557499999999999	0.09162143120868527	0.19502123128454796
IL-10RB	Q08334	1	125	16	0.2561	0.25605	-4.999999999999449e-5	0.9559374613876307	0.9842741950823882
IL-10RB	Q08334	7	121	18	0.3016	0.30584999999999996	0.004249999999999976	0.902637829307042	0.902637829307042
IL-12B	P29460	1	135	18	0.2372	0.26685000000000003	0.029650000000000037	0.8495426455455954	0.9503358407798186
IL-12B	P29460	7	131	16	-0.7904	-2.2888	-1.4984000000000002	0.003165271768175826	0.01160599648331136
IL-18R1	Q13478	1	135	18	1.2757	1.514	0.23829999999999996	0.10472267370789602	0.5133611691774267
IL-18R1	Q13478	7	131	16	0.9735	1.6071499999999999	0.6336499999999998	5.213018817377243e-5	5.827053847646277e-4
IL18	Q14116	1	125	16	1.1345	0.55255	-0.5819500000000001	0.011558050423096322	0.2542771093081191
IL18	Q14116	7	121	18	0.9059	1.2404	0.3344999999999999	0.11319050481099442	0.22548980795979046
IL6	P05231	1	128	18	3.9142	4.4028	0.4885999999999999	0.1834002056692604	0.7120243278924228
IL6	P05231	7	128	18	1.8388499999999999	4.90075	3.0619000000000005	5.530887158174552e-9	3.650385524395204e-7
IL7	P13232	1	128	18	1.3865500000000002	1.31175	-0.0748000000000002	0.8652910158952933	0.9518201174848228
IL7	P13232	7	128	18	1.54	1.8071000000000002	0.2671000000000001	0.5457328400280863	0.6670068044787723
IL8	P10145	1	135	18	2.1091	2.48025	0.37114999999999965	0.4496631851806599	0.8378096106083861
IL8	P10145	7	131	16	1.8206	3.22645	1.4058499999999998	4.260152227926109e-4	0.00234308372535936
LAP TGF-beta-1	P01137	1	135	18	0.9519	0.8424499999999999	-0.10945000000000005	0.5426933044927809	0.8378096106083861
LAP TGF-beta-1	P01137	7	131	16	1.0092	0.98515	-0.024050000000000127	0.777182288027646	0.8549005168304107
LIF-R	P42702	1	128	18	1.00315	1.2075	0.20435000000000003	0.02244567067022288	0.30796486213168817
LIF-R	P42702	7	128	18	0.75745	1.1118999999999999	0.35444999999999993	0.004825576826016301	0.015924403525853795
MCP-1	P13500	1	129	18	0.9875	0.9034	-0.08410000000000006	0.651230248828467	0.889124754250228
MCP-1	P13500	7	128	17	0.6253500000000001	1.6478	1.0224499999999999	0.0017769337411983543	0.00689868393641714
MCP-2	P80075	1	131	18	-1.5082	-1.04935	0.45885	0.2773439088579538	0.7310991549330832
MCP-2	P80075	7	132	18	-2.6788499999999997	-2.5355999999999996	0.1432500000000001	0.15735388658437696	0.2806853112045643
MCP-3	P80098	1	128	18	3.9379	4.5032	0.5652999999999997	0.02502144857560297	0.30796486213168817
MCP-3	P80098	7	128	18	2.6874000000000002	4.787000000000001	2.0996000000000006	1.1046085298114395e-6	3.6452081483777505e-5
MCP-4	Q99616	1	135	18	1.2116	1.14015	-0.07145000000000001	0.5769942544586697	0.8462582398727155
MCP-4	Q99616	7	131	16	1.5491	1.6564	0.10730000000000017	0.6700756101339996	0.8040907321607995
MMP-1	P03956	1	135	18	-0.1455	-0.6095999999999999	-0.46409999999999996	0.47728584432916166	0.8378096106083861
MMP-1	P03956	7	131	16	0.5402	0.8989	0.3587	0.8593046009185201	0.9002238676289259
MMP-10	P09238	1	125	16	-0.1215	-0.11674999999999999	0.004750000000000004	0.9870344062900973	0.9870344062900973
MMP-10	P09238	7	121	18	-0.3362	-0.03105	0.30515	0.09455574850159901	0.19502123128454796
OPG	O00300	1	125	16	0.7821	1.0667	0.28459999999999996	0.04423677554896407	0.36495339827895357
OPG	O00300	7	121	18	0.4815	1.2562	0.7746999999999999	7.063095572904578e-5	5.827053847646277e-4
OSM	P13725	1	128	18	2.78615	2.90775	0.12159999999999993	0.9075959324298923	0.9661505087156917
OSM	P13725	7	128	18	2.7782999999999998	3.5013	0.7230000000000003	0.026201353992367952	0.0640477542035661
PD-L1	Q9NZQ7	1	129	18	1.7932	2.1481	0.3549	0.082855987766929	0.4557079327181095
PD-L1	Q9NZQ7	7	128	17	1.4655	1.8674	0.4018999999999999	0.0012937021198071309	0.006098881421947903
SCF	P21583	1	125	18	-0.488	-0.6069	-0.1189	0.3629132118137868	0.8259404130934458
SCF	P21583	7	127	16	-0.6217	-0.6816	-0.05989999999999995	0.28055894719711283	0.440878345595463
