,Gender,cbmi,Age,suPAR,ferritin,IL6,CRP
Gender,1,0,-0.139377366181947,0,0.453072534980316,0,0
cbmi,0,1,-0.184944026197942,0,0,0,0
Age,0,0,1,0.134640309681475,-0.147120770666561,0.146043694355119,0
suPAR,0,0,0,1,0.132619345987673,0,0.125214680265349
ferritin,0.55365613051656,0,0,0,1,0.160461058671409,0.232377542688604
IL6,0,-0.20575469922616,0,0,0,1,0.418060966258585
CRP,0.263129277742101,-0.168543257092799,0,0,0.349096181032967,0.455955404833094,1
