,Gender,cbmi,Age,suPAR,ferritin,IL6,CRP
Gender,1,0,-0.139377366181947,0,0.458381486690669,0,0
cbmi,0,1,-0.184944026197942,0,0,0,0
Age,0,0,1,0.134640309681475,-0.160654153205502,0.148190602602012,0
suPAR,0,0,0,1,0,0,0.140811903536135
ferritin,0.534009861527467,0,0,0,1,0.154678066415149,0.217480046268252
IL6,0,0,0,0,0.174732271426349,1,0.541821936245421
CRP,0.266319510724759,-0.174777491781017,0,0,0.441522402871307,0.648082159785435,1
