Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL	group	color_class
IL6	7	Yes	0.4619130578222597	0.08806783457446038	1067.5365791965278	0.28910735192361486	0.6347187637209046	Yes	SRF+
MCP-1	1	No	0.02174161051335872	0.056802621439714256	1134.564356456362	-0.08970837551817153	0.13319159654488896	No	SRF-
MCP-1	4	No	-0.10127715847635833	0.05628488928716073	1114.9783456629712	-0.21171339616199442	0.009159079209277748	No	SRF-
MCP-1	7	No	0.03047589565193599	0.0573629047034035	1156.4829400155397	-0.08207112019025578	0.14302291149412777	No	SRF-
MCP-1	1	Yes	0.4362430135841991	0.09371994945496469	1112.0096414307925	0.2523551393833019	0.6201308877850963	Yes	SRF+
MCP-1	4	Yes	0.6495070486065452	0.096756358811379	1172.6338715136812	0.4596721304741821	0.8393419667389083	Yes	SRF+
MCP-1	7	Yes	0.5728937745608689	0.09630862265375983	1163.9788030659022	0.38393585817344544	0.7618516909482923	Yes	SRF+
CD6	1	No	-0.010727124598401812	0.05700077433463586	966.9805492940246	-0.12258660029997376	0.10113235110317015	No	SRF-
CD6	4	No	0.11908019531588085	0.056591288376052526	949.1121584688136	0.008021682913013292	0.2301387077187484	No	SRF-
CD6	7	No	0.4159667861251395	0.057440032026194625	986.6776974664426	0.30324812221011144	0.5286854500401675	No	SRF-
CD6	1	Yes	-0.1841644470779562	0.09423947380355771	949.6074995165459	-0.36910614216670745	7.772480107950397e-4	Yes	SRF+
CD6	4	Yes	-0.15453786655407015	0.09669575664038657	1008.452141577174	-0.34428580162294953	0.035210068514809206	Yes	SRF+
CD6	7	Yes	-0.2416820272677376	0.09633330539678879	999.811689591456	-0.430720680378057	-0.05264337415741818	Yes	SRF+
SCF	1	No	0.44882035067859766	0.05683079525128033	888.9730274782689	0.3372821796294631	0.5603585217277323	No	SRF-
SCF	4	No	0.04825312467843206	0.056483261862803634	873.3463465702201	-0.06260566905505321	0.15911191841191732	No	SRF-
SCF	7	No	0.11436322860321556	0.05720212897051946	906.0840656746374	0.0020991549178826924	0.22662730228854844	No	SRF-
SCF	1	Yes	0.31618072693873395	0.09405305219746317	874.8219839100981	0.1315847393350256	0.5007767145424423	Yes	SRF+
SCF	4	Yes	-0.3064997809265523	0.09616340286449605	927.9856583373662	-0.4952227315401668	-0.11777683031293776	Yes	SRF+
SCF	7	Yes	-0.3499657734746635	0.09585203848720271	920.1148539713212	-0.5380797655948748	-0.16185178135445222	Yes	SRF+
TGF-alpha	1	No	-0.16787702985285005	0.05887613360359617	1053.512286837868	-0.28340485684599886	-0.05234920285970124	No	SRF-
TGF-alpha	4	No	-0.11791037206178702	0.05839129486171929	1034.1913082563076	-0.23248930162009307	-0.003331442503480983	No	SRF-
TGF-alpha	7	No	0.009387955617773863	0.05939854323252545	1074.9668010780713	-0.10716227766957045	0.12593818890511818	No	SRF-
TGF-alpha	1	Yes	-0.27296470197724065	0.09723589690397512	1033.0988785632903	-0.46376709489900436	-0.08216230905547692	Yes	SRF+
TGF-alpha	4	Yes	-0.01568696513514789	0.10010886945016051	1094.6192076532157	-0.2121139368889767	0.18074000661868092	Yes	SRF+
TGF-alpha	7	Yes	0.2532390377252463	0.09968501291796471	1085.6996535190335	0.05764195035408834	0.44883612509640425	Yes	SRF+
MCP-4	1	No	-0.2293920800673738	0.05791050106990318	814.9225859383362	-0.3430634026041961	-0.11572075753055149	No	SRF-
MCP-4	4	No	0.09108362096464	0.05762274998966487	802.1511748380916	-0.022025559510323006	0.204192801439603	No	SRF-
MCP-4	7	No	0.3863665190919843	0.05821680632943089	828.8081445399765	0.27209680380682466	0.5006362343771439	No	SRF-
MCP-4	1	Yes	-0.48074883223602544	0.09593643429277182	804.1041954969462	-0.6690642395437894	-0.29243342492826147	Yes	SRF+
MCP-4	4	Yes	0.1506132045887851	0.09770648459944004	848.9757881941421	-0.041161388028848084	0.3423877972064183	Yes	SRF+
MCP-4	7	Yes	0.3036552282748819	0.09744543293168613	842.3006193125782	0.11239085404358554	0.4949196025061783	Yes	SRF+
LIF-R	1	No	0.29983598391815874	0.05725577920713192	994.5191868929447	0.18747998044744707	0.4121919873888704	No	SRF-
