Assay	Day	more_diff	more_p	more_p_adj	more_sig	UniProt	n_no	n_yes	median_no	median_yes	save_diff	save_p	save_p_adj	save_sig_fdr	save_sig_p	same_direction	overlap_fdr	overlap_p
TGF-alpha	1	NA	NA	NA	NA	P01135	128	18	1.4251	1.3192	-0.1059000000000001	0.4337809265900374	0.8378096106083861	FALSE	FALSE	FALSE	FALSE	FALSE
IL8	1	NA	NA	NA	NA	P10145	135	18	2.1091	2.48025	0.37114999999999965	0.4496631851806599	0.8378096106083861	FALSE	FALSE	FALSE	FALSE	FALSE
CCL23	1	0.35616320348262914	0.00406215244989687	0.03024046823812114	TRUE	P55773	125	16	2.2209	2.3691500000000003	0.14825000000000044	0.4606467382327484	0.8378096106083861	FALSE	FALSE	TRUE	FALSE	FALSE
HGF	1	NA	NA	NA	NA	P14210	135	18	2.7468	3.4158	0.669	0.47728584432916166	0.8378096106083861	FALSE	FALSE	FALSE	FALSE	FALSE
MMP-1	1	NA	NA	NA	NA	P03956	135	18	-0.1455	-0.6095999999999999	-0.46409999999999996	0.47728584432916166	0.8378096106083861	FALSE	FALSE	FALSE	FALSE	FALSE
TWEAK	1	NA	NA	NA	NA	O43508	135	18	-0.3005	-0.46165	-0.16115000000000002	0.48256545785274607	0.8378096106083861	FALSE	FALSE	FALSE	FALSE	FALSE
CCL20	1	0.40937225801901556	8.051886215448771e-4	0.00899127294058446	TRUE	P78556	135	18	0.4079	0.50715	0.09925	0.5167363042870841	0.8378096106083861	FALSE	FALSE	TRUE	FALSE	FALSE
CD40	1	NA	NA	NA	NA	P25942	125	16	0.869	0.8882	0.019199999999999995	0.5177754165588724	0.8378096106083861	FALSE	FALSE	FALSE	FALSE	FALSE
IFN-gamma	1	NA	NA	NA	NA	P01579	131	15	3.5576	3.0631	-0.49449999999999994	0.5213153791166485	0.8378096106083861	FALSE	FALSE	FALSE	FALSE	FALSE
LAP TGF-beta-1	1	NA	NA	NA	NA	P01137	135	18	0.9519	0.8424499999999999	-0.10945000000000005	0.5426933044927809	0.8378096106083861	FALSE	FALSE	FALSE	FALSE	FALSE
