term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
AllocationAnakinra	0.6196501503113185	0.21600592815970326	-2.215681013823305	0.026713356097200477	0.40577191070632856	0.9462614307443515	univariate
Age	1.0075168190608952	0.008564148902286477	0.8744253097151036	0.3818866790499312	0.9907463659962996	1.024571147096568	univariate
cbmi	1.025947206732013	0.017580612620638383	1.4570760729772487	0.1450953823316994	0.9911978898389617	1.0619147617154723	univariate
GenderMale	1.4082165018226074	0.22249750890808087	1.5385521082646432	0.12391367802438559	0.910498440423108	2.1780089102447766	univariate
DEXcorrectedYes	7.6791027142435055	0.5873653686721141	3.4705871591640047	5.193217709662408e-4	2.4285338901579006	24.28157117134894	univariate
