Assay	term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	adj.p.value
MCP-1	Day:Allocation:srf14	7.893697991916685	3.9468489959583426	2	1062.7490453575688	7.29779240506395	7.115012789769496e-4	0.02383529284572781
Flt3L	Day:Allocation:srf14	8.049754071212877	4.024877035606439	2	1061.6059778393148	8.307638706298416	2.630155427552476e-4	0.01762204136460159
