Day	Assay	term	estimate	std.error	statistic	p.value	log2FC	p_value	p_adj
07	4E-BP1	AllocationAnakinra	-0.216439597538976	0.12462240626113084	-1.7367631073135723	0.08302461978154659	-0.216439597538976	0.08302461978154659	0.3090360847424234
07	ADA	AllocationAnakinra	-0.03939647589046911	0.0779201954566514	-0.505600321708461	0.6133527414712455	-0.03939647589046911	0.6133527414712455	0.7571286402347847
07	AXIN1	AllocationAnakinra	0.05495314737532553	0.0817971711102449	0.6718221012956618	0.50199704679348	0.05495314737532553	0.50199704679348	0.6726760427032632
07	CASP-8	AllocationAnakinra	0.09621628580782951	0.11930596857611354	0.8064666584257809	0.42034463742919936	0.09621628580782951	0.42034463742919936	0.598324166580206
07	CCL11	AllocationAnakinra	-0.049908932165093636	0.04695010344115442	-1.0630207072418425	0.28826882889151495	-0.049908932165093636	0.28826882889151495	0.5694686756036004
07	CCL19	AllocationAnakinra	-0.31653119583227585	0.17754061712470498	-1.7828663714171025	0.07519469422529337	-0.31653119583227585	0.07519469422529337	0.29635555959380333
07	CCL20	AllocationAnakinra	-0.201713699579764	0.09493405521689224	-2.1247770267362576	0.03407897671911271	-0.201713699579764	0.03407897671911271	0.20931765466376023
07	CCL23	AllocationAnakinra	-0.04057204852183882	0.042860990150593824	-0.946596156068427	0.3442868119151743	-0.04057204852183882	0.3442868119151743	0.5694686756036004
07	CCL25	AllocationAnakinra	0.14274110187526695	0.09456559809356162	1.5094400580435319	0.13179724162454737	0.14274110187526695	0.13179724162454737	0.3865259779867148
07	CCL3	AllocationAnakinra	0.05809612596509531	0.08254945171289525	0.703773613992641	0.4818906064732824	0.05809612596509531	0.4818906064732824	0.6589116455859167
07	CCL4	AllocationAnakinra	0.024618882236896397	0.08260964770841932	0.29801461354479686	0.7658117343844361	0.024618882236896397	0.7658117343844361	0.8532671558538297
07	CD244	AllocationAnakinra	0.09290877325011739	0.04471136918942026	2.077967526704634	0.038205190936816125	0.09290877325011739	0.038205190936816125	0.20931765466376023
07	CD40	AllocationAnakinra	0.04709294276869688	0.045880000649512226	1.026437273365591	0.30516551270915304	0.04709294276869688	0.30516551270915304	0.5694686756036004
07	CD5	AllocationAnakinra	0.08385016322255044	0.0705558851332316	1.1884219589083898	0.23521282482728562	0.08385016322255044	0.23521282482728562	0.5253086421142712
07	CD6	AllocationAnakinra	0.08463464860793925	0.09181114804413319	0.9218341172169611	0.35704507726513235	0.08463464860793925	0.35704507726513235	0.5694686756036004
07	CD8A	AllocationAnakinra	-0.07627301378594564	0.12674459081110875	-0.6017851594125827	0.5475809531903546	-0.07627301378594564	0.5475809531903546	0.7193710561520344
07	CDCP1	AllocationAnakinra	-0.03003295540529054	0.0607967676761246	-0.49398934438885855	0.6215235106404948	-0.03003295540529054	0.6215235106404948	0.7571286402347847
07	CSF-1	AllocationAnakinra	-0.06688891367144387	0.02218859037576926	-3.014563455301287	0.002699866635417913	-0.06688891367144387	0.002699866635417913	0.0904455322865001
07	CST5	AllocationAnakinra	0.002042782528705856	0.05885617470363218	0.034708041067775856	0.9723259449597432	0.002042782528705856	0.9723259449597432	0.9832031316366943
07	CX3CL1	AllocationAnakinra	0.013855382549749844	0.06507841686960568	0.212902882648654	0.8314866351552621	0.013855382549749844	0.8314866351552621	0.8985420089581058
07	CXCL1	AllocationAnakinra	-0.2062271858423257	0.07451754098904351	-2.767498539339184	0.005851319543701332	-0.2062271858423257	0.005851319543701332	0.09800960235699731
07	CXCL10	AllocationAnakinra	-0.10497705259965327	0.11797635239204866	-0.889814360854307	0.3739794287546032	-0.10497705259965327	0.3739794287546032	0.5694686756036004
07	CXCL11	AllocationAnakinra	-0.045973135899227954	0.07867999351699777	-0.5843052832648755	0.5592698053368128	-0.045973135899227954	0.5592698053368128	0.720597633799355
07	CXCL5	AllocationAnakinra	-0.09857684865222127	0.1235133385076468	-0.7981069076690718	0.42517488968276407	-0.09857684865222127	0.42517488968276407	0.598324166580206
07	CXCL6	AllocationAnakinra	-0.13610620788255598	0.0941166271882997	-1.4461441293497213	0.14874272263008925	-0.13610620788255598	0.14874272263008925	0.3986304966486392
07	CXCL9	AllocationAnakinra	0.011100560325384617	0.10056977184214357	0.11037670785221916	0.9121534572799543	0.011100560325384617	0.9121534572799543	0.9402197175039528
07	DNER	AllocationAnakinra	0.029096263894654823	0.030923307263188145	0.9409169480811557	0.3471868417865158	0.029096263894654823	0.3471868417865158	0.5694686756036004
07	EN-RAGE	AllocationAnakinra	-0.10752318253451393	0.10487825501000093	-1.0252190268064698	0.3057392945904455	-0.10752318253451393	0.3057392945904455	0.5694686756036004
07	FGF-19	AllocationAnakinra	-0.19144004249885813	0.09565970604737478	-2.0012610367425636	0.04588644032215694	-0.19144004249885813	0.04588644032215694	0.2147681643154459
07	FGF-21	AllocationAnakinra	-0.1925748057598013	0.12738775017433496	-1.5117215391295897	0.13121569754324341	-0.1925748057598013	0.13121569754324341	0.3865259779867148
07	Flt3L	AllocationAnakinra	0.07892228507230499	0.08757599734756547	0.9011862549401952	0.3679089090982586	0.07892228507230499	0.3679089090982586	0.5694686756036004
07	HGF	AllocationAnakinra	-0.14014149523135824	0.09068789061200129	-1.5453165167435536	0.12288158978382661	-0.14014149523135824	0.12288158978382661	0.3865259779867148
