Assay	term	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	x1	x2	x_center	y_position	label	x_offset	x_pos
Flt3L	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.6251529836212427	0.12466163788043268	1255.979006021043	5.014798411527761	6.070113378699597e-7	6.778293272881217e-6	4	Anakinra.No	Anakinra.Yes	0.29037396278338423	-0.3347790208378585	1	3	2	0.49037396278338424	***	-0.15	1.85
Flt3L	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.3688803905270641	0.12381058447415579	1243.2911380081844	2.979393014690632	0.002944264770602947	0.007890629585215898	7	Anakinra.No	Anakinra.Yes	0.5173832222102952	0.14850283168323114	1	3	2	0.7173832222102952	**	-0.15	2.85
CXCL6	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.3215621417856758	0.129607814911126	1099.804940954411	2.4810397583369164	0.013248603057039276	0.028634077574891337	7	Anakinra.No	Anakinra.Yes	0.26093393729636777	-0.060628204489308016	1	3	2	0.4609339372963678	*	-0.15	2.85
CXCL10	Day*Allocation*srf14	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.46256327701107475	0.10908753746523414	1127.5337753220053	-4.2402944255524355	2.4150080944092728e-5	8.090277116271063e-4	1	Anakinra.No	Anakinra.Yes	0.569196305177372	1.0317595821884467	1	3	2	1.2317595821884466	***	-0.15	0.85
CXCL10	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.504603450750143	0.11145185194002773	1169.8433322546532	-4.527546576988871	6.577008962437101e-6	6.295137149761226e-5	4	Anakinra.No	Anakinra.Yes	-0.21862247403321583	0.2859809767169272	1	3	2	0.4859809767169272	***	-0.15	1.85
CXCL10	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6902677737756332	0.11075710951351422	1156.4538467801458	-6.232266053236149	6.429073700118307e-10	1.0768698447698164e-8	7	Anakinra.No	Anakinra.Yes	-0.6343511757686618	0.055916598006971394	1	3	2	0.2559165980069714	***	-0.15	2.85
DNER	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.44800023908893166	0.12737419429142918	1069.0598009149473	3.5171978247329876	4.544391171565468e-4	0.001383973674976756	4	Anakinra.No	Anakinra.Yes	0.08207455791799219	-0.36592568117093943	1	3	2	0.2820745579179922	**	-0.15	1.85
DNER	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.48745238703066995	0.12667624000603955	1055.933806485308	3.848017489368406	1.2621867667707303e-4	4.974500786684643e-4	7	Anakinra.No	Anakinra.Yes	0.40703420201899987	-0.08041818501167004	1	3	2	0.6070342020189998	***	-0.15	2.85
EN-RAGE	Day*Allocation*srf14	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.3511706037385543	0.12577325630696565	1230.8048308231728	-2.7920928029523044	0.005317864673806922	0.02969141109542198	1	Anakinra.No	Anakinra.Yes	-0.21682175290610017	0.13434885083245413	1	3	2	0.33434885083245414	*	-0.15	0.85
EN-RAGE	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.876534747717576	0.12877512942111238	1269.3993457517581	-6.806708342347588	1.535827824250212e-11	1.029004642247642e-9	4	Anakinra.No	Anakinra.Yes	-0.29153253293137193	0.5850022147862042	1	3	2	0.7850022147862041	***	-0.15	1.85
EN-RAGE	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.5300119675671188	0.12788453447748313	1256.9041549273395	-4.144457105252543	3.634246927153853e-5	1.739246743709344e-4	7	Anakinra.No	Anakinra.Yes	0.022916710926584108	0.5529286784937029	1	3	2	0.7529286784937028	***	-0.15	2.85
