Assay	term	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	y_position	label	x_offset	x_pos
MCP-1	Day*Allocation*srf14	Day4	Anakinra	Yes	Day4	Placebo	Yes	0	-0.6292951132753425	0.17542392424663805	1337.1257763806432	-3.5872821565123707	3.4619731031004683e-4	6.923946206200937e-4	4	Anakinra.Yes	Placebo.Yes	0.334859491968874	0.9641546052442165	1.1641546052442164	***	0.15	2.15
Flt3L	Day*Allocation*srf14	Day4	Anakinra	Yes	Day4	Placebo	Yes	0	-0.4646305667029359	0.16925541570754507	1308.774626477132	-2.7451444596949672	0.006131184570512722	0.006131184570512722	4	Anakinra.Yes	Placebo.Yes	-0.2899046248017591	0.1747259419011768	0.3747259419011768	**	0.15	2.15
