term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	protein
PD.L1	1.1455166687168492	0.14577517759831238	0.9319540989128375	0.3513602475255465	0.8608299270280174	1.5243527171952507	Anakinra	PD-L1
IL6	2.115208706853798	0.1562680243064068	4.794029298817574	1.6346438489757993e-6	1.5571757867611418	2.8732195244674763	Anakinra	IL-6
TNFB	0.7509853712202252	0.15206188504805848	-1.8832405397633054	0.05966777738757352	0.5574374804701303	1.0117350331576775	Anakinra	TNF-B
PD.L1	2.753602209829296	0.2200404436081107	4.603289887937642	4.1586873402906804e-6	1.7889674402419606	4.238380732603642	Placebo	PD-L1
IL6	1.988031462759577	0.21308479143284187	3.2247488421224593	0.0012608322821555226	1.309318034859444	3.018570730484333	Placebo	IL-6
TNFB	0.6379224669851087	0.1663353718853949	-2.702603318995573	0.0068798798747546986	0.4604505251161183	0.8837976105722586	Placebo	TNF-B
