,Gender,cbmi,Age,suPAR,ferritin,IL6,CRP
Gender,1,0,-0.139377366181947,0,0.426153504914143,0,0
cbmi,0,1,-0.184944026197942,0,0,0,0
Age,0,0,1,0.134640309681475,0,0,0
suPAR,0,0,0,1,0.165018097198284,0.147113075022506,0.199288120569559
ferritin,0.530411850514852,0,0,0,1,0,0.271480910594633
IL6,0.193824647367875,0,0,0,0,1,0.275866557215582
CRP,0.204020968268383,0,0,0,0.223976515391939,0.253725857697241,1
