term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
PD.L1	1.1455166687168492	0.14577517759831238	0.9319540989128375	0.3513602475255465	0.8608299270280174	1.5243527171952507	Anakinra
IL6	2.115208706853798	0.1562680243064068	4.794029298817574	1.6346438489757993e-6	1.5571757867611418	2.8732195244674763	Anakinra
TNFB	0.7509853712202252	0.15206188504805848	-1.8832405397633054	0.05966777738757352	0.5574374804701303	1.0117350331576775	Anakinra
Age	1.0035675133419388	0.011884270492753798	0.29965363568328657	0.7644413676038243	0.9804618162083912	1.0272177224913561	Anakinra
cbmi	1.0600188814086662	0.02577372354077876	2.261478459749796	0.02372964507228791	1.0078014244892581	1.114941893947339	Anakinra
GenderMale	0.8768815227048816	0.30018879937639004	-0.4376691930077417	0.6616261047563373	0.4868775499872508	1.5792907372323213	Anakinra
DEXcorrectedYes	14.606380900963124	1.014897174731995	2.6420986756179463	0.008239404709815707	1.9982995037353037	106.76395736736391	Anakinra
