Day	Assay	term	estimate	std.error	statistic	p.value	log2FC	p_value	p_adj
01	4E-BP1	AllocationAnakinra	-0.0688798544387462	0.11600779710232137	-0.5937519387424682	0.5529275917861893	-0.0688798544387462	0.5529275917861893	0.9685139678375835
04	4E-BP1	AllocationAnakinra	-0.158389215757086	0.11163866810552255	-1.4187666195316317	0.1565570689991969	-0.158389215757086	0.1565570689991969	0.6056239935920046
07	4E-BP1	AllocationAnakinra	-0.216439597538976	0.12462240626113084	-1.7367631073135723	0.08302461978154659	-0.216439597538976	0.08302461978154659	0.3090360847424234
01	ADA	AllocationAnakinra	0.00714062987606774	0.07562118318900021	0.09442631779803215	0.9248056673207983	0.00714062987606774	0.9248056673207983	0.9895778833500827
04	ADA	AllocationAnakinra	-0.0569257367103492	0.06938337338418311	-0.8204521333251605	0.412328647058264	-0.0569257367103492	0.412328647058264	0.8260347380446666
07	ADA	AllocationAnakinra	-0.03939647589046911	0.0779201954566514	-0.505600321708461	0.6133527414712455	-0.03939647589046911	0.6133527414712455	0.7571286402347847
01	AXIN1	AllocationAnakinra	0.026671154062931496	0.0675209330922032	0.3950057092148106	0.6929952320447382	0.026671154062931496	0.6929952320447382	0.9685139678375835
04	AXIN1	AllocationAnakinra	0.021868832795761465	0.0764750052690067	0.28596052682619855	0.7750205105293381	0.021868832795761465	0.7750205105293381	0.9823868561467095
07	AXIN1	AllocationAnakinra	0.05495314737532553	0.0817971711102449	0.6718221012956618	0.50199704679348	0.05495314737532553	0.50199704679348	0.6726760427032632
01	CASP-8	AllocationAnakinra	-0.04595456835049538	0.10535141689059148	-0.43620266064593766	0.6628646811404812	-0.04595456835049538	0.6628646811404812	0.9685139678375835
04	CASP-8	AllocationAnakinra	-0.07032740224628738	0.10754387753184076	-0.6539414782163251	0.5134342141349502	-0.07032740224628738	0.5134342141349502	0.8345033678575484
07	CASP-8	AllocationAnakinra	0.09621628580782951	0.11930596857611354	0.8064666584257809	0.42034463742919936	0.09621628580782951	0.42034463742919936	0.598324166580206
01	CCL11	AllocationAnakinra	-0.007358727738292322	0.04760452873241224	-0.1545804135496467	0.8772100838094214	-0.007358727738292322	0.8772100838094214	0.9782863030844253
04	CCL11	AllocationAnakinra	-0.0122693246934377	0.04888588732900273	-0.2509788686224506	0.8019280865039823	-0.0122693246934377	0.8019280865039823	0.9823868561467095
07	CCL11	AllocationAnakinra	-0.049908932165093636	0.04695010344115442	-1.0630207072418425	0.28826882889151495	-0.049908932165093636	0.28826882889151495	0.5694686756036004
01	CCL19	AllocationAnakinra	-0.2840842079347315	0.15220923244418183	-1.8664058899246525	0.06252841500289916	-0.2840842079347315	0.06252841500289916	0.6088989255435768
04	CCL19	AllocationAnakinra	-0.28278146394553294	0.16830056208208843	-1.68021699064562	0.0935065936002345	-0.28278146394553294	0.0935065936002345	0.504670667607299
07	CCL19	AllocationAnakinra	-0.31653119583227585	0.17754061712470498	-1.7828663714171025	0.07519469422529337	-0.31653119583227585	0.07519469422529337	0.29635555959380333
01	CCL20	AllocationAnakinra	-0.16539526752491948	0.08469686553459131	-1.9527908911501557	0.05136250012607987	-0.16539526752491948	0.05136250012607987	0.6088989255435768
04	CCL20	AllocationAnakinra	-0.11961464659146856	0.08920724834145786	-1.340862416623597	0.18054168345556895	-0.11961464659146856	0.18054168345556895	0.6366469890275326
07	CCL20	AllocationAnakinra	-0.201713699579764	0.09493405521689224	-2.1247770267362576	0.03407897671911271	-0.201713699579764	0.03407897671911271	0.20931765466376023
01	CCL23	AllocationAnakinra	0.037794771082570074	0.04485602207482424	0.8425796433648238	0.3998379929218113	0.037794771082570074	0.3998379929218113	0.9685139678375835
04	CCL23	AllocationAnakinra	-0.003502234070485177	0.044485136147546234	-0.07872818594663013	0.937278652975313	-0.003502234070485177	0.937278652975313	0.985837280509563
07	CCL23	AllocationAnakinra	-0.04057204852183882	0.042860990150593824	-0.946596156068427	0.3442868119151743	-0.04057204852183882	0.3442868119151743	0.5694686756036004
01	CCL25	AllocationAnakinra	0.024438040925610836	0.09369478626643148	0.260826049126347	0.7943264605013247	0.024438040925610836	0.7943264605013247	0.9685139678375835
04	CCL25	AllocationAnakinra	0.15634763633864776	0.0943016866095419	1.6579516439192483	0.09792117431186398	0.15634763633864776	0.09792117431186398	0.504670667607299
07	CCL25	AllocationAnakinra	0.14274110187526695	0.09456559809356162	1.5094400580435319	0.13179724162454737	0.14274110187526695	0.13179724162454737	0.3865259779867148
01	CCL3	AllocationAnakinra	-0.024363326846150495	0.0679834508601086	-0.3583714350759213	0.7202059396787028	-0.024363326846150495	0.7202059396787028	0.9685139678375835
04	CCL3	AllocationAnakinra	0.14144647859627543	0.07635375818303959	1.8525149509627523	0.06450977025938091	0.14144647859627543	0.06450977025938091	0.3929231461253201
07	CCL3	AllocationAnakinra	0.05809612596509531	0.08254945171289525	0.703773613992641	0.4818906064732824	0.05809612596509531	0.4818906064732824	0.6589116455859167
01	CCL4	AllocationAnakinra	-0.04988905791334377	0.07470494291810438	-0.667814684873461	0.5045382595471954	-0.04988905791334377	0.5045382595471954	0.9685139678375835
04	CCL4	AllocationAnakinra	0.04907530763567676	0.07929256424357227	0.6189143724110925	0.5362396974219303	0.04907530763567676	0.5362396974219303	0.8345033678575484
07	CCL4	AllocationAnakinra	0.024618882236896397	0.08260964770841932	0.29801461354479686	0.7658117343844361	0.024618882236896397	0.7658117343844361	0.8532671558538297
01	CD244	AllocationAnakinra	0.04107372599419372	0.038402559725631856	1.0695569849417874	0.2852983895254866	0.04107372599419372	0.2852983895254866	0.9685139678375835
04	CD244	AllocationAnakinra	0.036981310013353204	0.03939096860659942	0.9388271302157695	0.34824876931363735	0.036981310013353204	0.34824876931363735	0.8083313479323514
07	CD244	AllocationAnakinra	0.09290877325011739	0.04471136918942026	2.077967526704634	0.038205190936816125	0.09290877325011739	0.038205190936816125	0.20931765466376023
01	CD40	AllocationAnakinra	0.049103351072518835	0.04135609199242138	1.1873305408431039	0.23562122909122635	0.049103351072518835	0.23562122909122635	0.9685139678375835
04	CD40	AllocationAnakinra	-0.016532151764494175	0.043446558440185704	-0.3805169467509038	0.7037147539672519	-0.016532151764494175	0.7037147539672519	0.9656515135470845
07	CD40	AllocationAnakinra	0.04709294276869688	0.045880000649512226	1.026437273365591	0.30516551270915304	0.04709294276869688	0.30516551270915304	0.5694686756036004
01	CD5	AllocationAnakinra	0.02972520716986533	0.04903468585716099	0.6062077619188884	0.54463248405673	0.02972520716986533	0.54463248405673	0.9685139678375835
04	CD5	AllocationAnakinra	-0.004288704949342091	0.059249470116280345	-0.07238385323826983	0.9423238447864786	-0.004288704949342091	0.9423238447864786	0.985837280509563
07	CD5	AllocationAnakinra	0.08385016322255044	0.0705558851332316	1.1884219589083898	0.23521282482728562	0.08385016322255044	0.23521282482728562	0.5253086421142712
01	CD6	AllocationAnakinra	0.03435542986855477	0.07010616950918457	0.4900485949963917	0.6242992862254548	0.03435542986855477	0.6242992862254548	0.9685139678375835
04	CD6	AllocationAnakinra	0.0021822539721709166	0.08071531516058425	0.027036430048365565	0.9784408929632362	0.0021822539721709166	0.9784408929632362	0.985837280509563
07	CD6	AllocationAnakinra	0.08463464860793925	0.09181114804413319	0.9218341172169611	0.35704507726513235	0.08463464860793925	0.35704507726513235	0.5694686756036004
01	CD8A	AllocationAnakinra	0.0810060887770506	0.1103096384803416	0.7343518652858859	0.46305424686034014	0.0810060887770506	0.46305424686034014	0.9685139678375835
04	CD8A	AllocationAnakinra	0.03411246983625856	0.12247865145927193	0.2785176798554322	0.780724036576924	0.03411246983625856	0.780724036576924	0.9823868561467095
07	CD8A	AllocationAnakinra	-0.07627301378594564	0.12674459081110875	-0.6017851594125827	0.5475809531903546	-0.07627301378594564	0.5475809531903546	0.7193710561520344
01	CDCP1	AllocationAnakinra	0.10286862889174989	0.05384826132156995	1.9103426251302915	0.05662045286777215	0.10286862889174989	0.05662045286777215	0.6088989255435768
