term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	protein_var	protein	hr_ci
IL6:AllocationAnakinra	0.982645312733983	0.2528733902678014	-0.06923245326424243	0.9448045911040924	0.5986190961334183	1.6130320881425058	per_protein	IL6	IL-6	0·98 (0·60–1·61)
PD.L1:AllocationAnakinra	0.5874326346559972	0.2429052380601183	-2.190128579367839	0.028514913077795224	0.36491923560188766	0.9456259538901138	per_protein	PD.L1	PD-L1	0·59 (0·36–0·95)
TNFB:AllocationAnakinra	0.8992639433645166	0.22993355809930194	-0.46177988048280766	0.6442391803826034	0.5730168341722086	1.4112598297460657	per_protein	TNFB	TNF-B	0·90 (0·57–1·41)
