term	estimate	std.error	statistic	p.value	conf.low	conf.high
IL6	1.8260842187448716	0.10959290703372944	5.494643032956528	3.915015080745697e-8	1.4731099117991027	2.2636352842650798
PD.L1	1.5121653530229253	0.11262932273077404	3.671713743954049	2.4092945633714068e-4	1.2126320147989025	1.885686693883103
TNFB	0.7573982192425814	0.10881215889723125	-2.5536311151118527	0.010660613271748857	0.6119320529768717	0.9374440507261923
AllocationAnakinra	1.6700844098646883	0.6048764668195739	0.8478990308172374	0.3964942043525077	0.5103482617768369	5.465252152250352
Age	0.9998999116877498	0.009318891423054448	-0.010740904349621005	0.9914301630301283	0.9818028201968043	1.0183305780205012
cbmi	1.0433804180400357	0.01948551746720438	2.1793541818426387	0.02930536706423417	1.0042840820761152	1.083998757103561
GenderMale	1.1947671243380868	0.23142296778387964	0.7689439517004327	0.44192658410696745	0.7590942060164773	1.8804892332008083
DEXcorrectedYes	6.840514405183467	0.5948270135733442	3.232642247855402	0.0012265105540787238	2.1319209134429817	21.948580283850184
tt(Allocation)	0.4533573504381934	0.4374308051403012	-1.8084565652891629	0.07053547105738028	0.192352965014388	1.068519464625695
