term	estimate	std.error	statistic	p.value	conf.low	conf.high
IL6	1.8215152560602708	0.10931841068358139	5.485523520049178	4.1224669943323114e-8	1.470214877373619	2.2567570762087636
PD.L1	1.499131776017145	0.11231018826670723	3.6050703038575076	3.120684368593251e-4	1.2029323493310857	1.8682647308587454
TNFB	0.7571879029166073	0.10891607038789246	-2.5537446848589096	0.010657136984420034	0.6116375495888171	0.9373746276838005
AllocationAnakinra	0.6109810886535088	0.2217418400384936	-2.221904858691854	0.02628973599297602	0.39562230737979776	0.9435713905127711
Age	1.0001630740715886	0.009326150972978281	0.01748425228479162	0.9860502957836896	0.9820472465143578	1.018613084336676
cbmi	1.0437052022092788	0.019447440750003965	2.1996249672499353	0.02783351427448695	1.0046716711499923	1.084255265077621
GenderMale	1.1846962694980219	0.23104489854334453	0.7335649050987271	0.4632139567045394	0.7532536533380628	1.863257144180928
DEXcorrectedYes	6.812663432783504	0.5947526021310281	3.2261870615779853	0.0012545133587786648	2.123550538150509	21.856029425514894
