Assay	term	Day1	SRF1	Day2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	x1	x2	x_center	y_position	label	x_offset	x_pos
CST5	Day*srf14	Day4	No	Day4	Yes	0	0.3445219560314434	0.1034285498076536	910.7510419032676	3.3310140833662656	9.000953890888015e-4	0.0019881227824928476	4	No	Yes	-0.04444990763546883	-0.3889718636669122	1	2	1.5	0.15555009236453118	**	0.15	2.15
CST5	Day*srf14	Day7	No	Day7	Yes	0	0.4098798459089103	0.10336076535709166	909.3798274638393	3.9655264209088807	7.898538880518716e-5	2.040625083527329e-4	7	No	Yes	0.230032406013835	-0.1798474398950753	1	2	1.5	0.430032406013835	***	0.15	3.15
CD6	Day*srf14	Day4	No	Day4	Yes	0	0.273618061869951	0.10201873429024584	1108.529433784162	2.6820374098300497	0.007426287389903751	0.013933331465798107	4	No	Yes	0.11908019531588085	-0.15453786655407015	1	2	1.5	0.31908019531588083	*	0.15	2.15
CD6	Day*srf14	Day7	No	Day7	Yes	0	0.6576488133928771	0.10193303850117758	1107.3156973355306	6.451772880146996	1.6490579821546617e-10	8.722648800344395e-10	7	No	Yes	0.4159667861251395	-0.2416820272677376	1	2	1.5	0.6159667861251394	***	0.15	3.15
SCF	Day*srf14	Day4	No	Day4	Yes	0	0.35475290560498435	0.10089811330962584	1012.9471185127509	3.5159518247517156	4.575842570613105e-4	0.0010645189313579098	4	No	Yes	0.04825312467843206	-0.3064997809265523	1	2	1.5	0.24825312467843208	**	0.15	2.15
SCF	Day*srf14	Day7	No	Day7	Yes	0	0.4643290020778791	0.10082107138336284	1011.5736047491445	4.605475777105272	4.639224933999906e-6	1.4753739033307803e-5	7	No	Yes	0.11436322860321556	-0.3499657734746635	1	2	1.5	0.3143632286032156	***	0.15	3.15
CCL11	Day*srf14	Day1	No	Day1	Yes	0	0.25430165773589264	0.10154069628839192	1031.8758825987975	2.5044309033851313	0.012418202943671467	0.02220197103134773	1	No	Yes	-0.23719506619006048	-0.4914967239259531	1	2	1.5	-0.037195066190060466	*	0.15	1.15
CCL11	Day*srf14	Day4	No	Day4	Yes	0	0.4435028601388798	0.10364872122709987	1077.9812604472688	4.278903346690997	2.045063545424921e-5	5.974676927767575e-5	4	No	Yes	0.12739972412314624	-0.3161031360157336	1	2	1.5	0.3273997241231462	***	0.15	2.15
CCL11	Day*srf14	Day7	No	Day7	Yes	0	0.45868267592301093	0.10356394586717456	1076.7008055451477	4.428980298909161	1.0433794889481379e-5	3.1489380972759114e-5	7	No	Yes	0.36726406741277307	-0.09141860851023782	1	2	1.5	0.5672640674127731	***	0.15	3.15
IL-18R1	Day*srf14	Day1	No	Day1	Yes	0	-0.32931230735782946	0.0961103497076187	913.3387458142822	-3.4263979723270612	6.38923089075495e-4	0.0014429611337547696	1	No	Yes	0.3211817243655195	0.650494031723349	1	2	1.5	0.8504940317233489	**	0.15	1.15
IL-18R1	Day*srf14	Day4	No	Day4	Yes	0	-0.4339301315365216	0.09774573606255225	954.5208582294107	-4.439376580670778	1.0074899273430754e-5	3.068264778726639e-5	4	No	Yes	-0.2959287384604318	0.13800139307608983	1	2	1.5	0.33800139307608984	***	0.15	2.15
IL-18R1	Day*srf14	Day7	No	Day7	Yes	0	-0.4304242098948374	0.09767678455558289	953.1253810961954	-4.40661731293893	1.1691137549092307e-5	3.507341264727692e-5	7	No	Yes	-0.46811120956834595	-0.037686999673508574	1	2	1.5	0.16231300032649143	***	0.15	3.15
PD-L1	Day*srf14	Day1	No	Day1	Yes	0	-0.4684548858391989	0.09743878107022245	979.5343547061145	-4.807684175580887	1.7664093270918622e-6	6.038235965058916e-6	1	No	Yes	0.2068364389443274	0.6752913247835263	1	2	1.5	0.8752913247835263	***	0.15	1.15
PD-L1	Day*srf14	Day4	No	Day4	Yes	0	-0.7330958737306787	0.0993094078160085	1024.1312571001777	-7.3819378229391175	3.22378963248115e-13	2.2656703361143745e-12	4	No	Yes	-0.1777217308168817	0.555374142913797	1	2	1.5	0.755374142913797	***	0.15	2.15
PD-L1	Day*srf14	Day7	No	Day7	Yes	0	-0.593134224665654	0.09923257692244945	1022.7687631734414	-5.977212756746105	3.1318226798975e-9	1.4114268131376624e-8	7	No	Yes	-0.3647750685036908	0.22835915616196323	1	2	1.5	0.42835915616196324	***	0.15	3.15
TRANCE	Day*srf14	Day1	No	Day1	Yes	0	0.3523820994176393	0.09272492596619973	1186.6864444875607	3.80029529002903	1.518581412398565e-4	3.7776592065855396e-4	1	No	Yes	-0.1894792535730046	-0.541861352990644	1	2	1.5	0.010520746426995409	***	0.15	1.15
TRANCE	Day*srf14	Day4	No	Day4	Yes	0	0.44188220383644217	0.09501746404590593	1231.0816451574615	4.6505367015789325	3.667888442722908e-6	1.1891057693343621e-5	4	No	Yes	0.1477177782931431	-0.294164425543299	1	2	1.5	0.3477177782931431	***	0.15	2.15
TRANCE	Day*srf14	Day7	No	Day7	Yes	0	0.7533840254944155	0.0949311359881486	1230.258929823824	7.9361109255921	4.663199246568042e-15	3.938248103194019e-14	7	No	Yes	0.5603149500876207	-0.19306907540679488	1	2	1.5	0.7603149500876207	***	0.15	3.15
HGF	Day*srf14	Day4	No	Day4	Yes	0	-0.48604882682344464	0.10527845068220067	1246.3007030323918	-4.616793120281171	4.300314816609426e-6	1.380772009805902e-5	4	No	Yes	-0.1435496864695474	0.3424991403538973	1	2	1.5	0.5424991403538972	***	0.15	2.15
HGF	Day*srf14	Day7	No	Day7	Yes	0	-0.5517819158538394	0.1051821289985752	1245.5376057070005	-5.245966411854184	1.8254670998414183e-7	6.79479420496528e-7	7	No	Yes	-0.07100629582035935	0.48077562003348007	1	2	1.5	0.68077562003348	***	0.15	3.15
IL-12B	Day*srf14	Day4	No	Day4	Yes	0	0.18954273998161997	0.08584704618226151	1191.3810626357158	2.207912192799302	0.027440345268237864	0.04520457859046229	4	No	Yes	0.17752707798026982	-0.012015662001350154	1	2	1.5	0.37752707798026985	*	0.15	2.15
IL-12B	Day*srf14	Day7	No	Day7	Yes	0	0.40996473951914036	0.08577066516439102	1190.4127524152873	4.779778013069944	1.9738555780817466e-6	6.679208269266516e-6	7	No	Yes	0.1512357734540061	-0.25872896606513424	1	2	1.5	0.35123577345400614	***	0.15	3.15
IL10	Day*srf14	Day1	No	Day1	Yes	0	-0.3650617656087419	0.09492505804018359	1179.9727590052091	-3.8457892272681495	1.265858427458967e-4	3.1804692989906546e-4	1	No	Yes	0.5203830250985606	0.8854447907073025	1	2	1.5	1.0854447907073026	***	0.15	1.15
IL10	Day*srf14	Day4	No	Day4	Yes	0	-0.43715566934383815	0.09725729257997587	1224.6323524500797	-4.494836919137551	7.621496501571295e-6	2.3713944223155265e-5	4	No	Yes	-0.2794295830070013	0.15772608633683685	1	2	1.5	0.3577260863368369	***	0.15	2.15
IL10	Day*srf14	Day7	No	Day7	Yes	0	-0.2998716528586967	0.09716920582138913	1223.78496325902	-3.0860770171354863	0.0020736977570221084	0.004323788891716222	7	No	Yes	-0.4081347718684956	-0.10826311900979889	1	2	1.5	0.09173688099020112	**	0.15	3.15
CCL23	Day*srf14	Day4	No	Day4	Yes	0	-0.4290116025740165	0.10228135207030022	1093.1377885589761	-4.19442639239993	2.9571493020980763e-5	8.371648024249483e-5	4	No	Yes	-0.21977923233451196	0.20923237023950456	1	2	1.5	0.40923237023950454	***	0.15	2.15
CCL23	Day*srf14	Day7	No	Day7	Yes	0	-0.3035059557169891	0.10219654715484207	1091.8886930367364	-2.9698259301963996	0.00304481756049446	0.006194416292099054	7	No	Yes	-0.32646710469354734	-0.02296114897655827	1	2	1.5	0.17703885102344175	**	0.15	3.15
CD5	Day*srf14	Day4	No	Day4	Yes	0	0.23523686965515614	0.10054970728327796	1193.8087988306524	2.3395082493122037	0.019473306838180677	0.033511427007485585	4	No	Yes	0.15845826760491755	-0.07677860205023859	1	2	1.5	0.35845826760491756	*	0.15	2.15
CD5	Day*srf14	Day7	No	Day7	Yes	0	0.5384111366427766	0.10046011992860378	1192.8489345864823	5.3594514621864	1.0013014354736574e-7	3.8452447560314573e-7	7	No	Yes	0.5501056635745076	0.011694526931730995	1	2	1.5	0.7501056635745076	***	0.15	3.15
Flt3L	Day*srf14	Day4	No	Day4	Yes	0	0.26503438061436985	0.09964464559751623	1261.482404024131	2.6597955065733725	0.00791788158480871	0.014708818840541133	4	No	Yes	0.2074450391640787	-0.05758934145029115	1	2	1.5	0.4074450391640787	*	0.15	2.15
Flt3L	Day*srf14	Day7	No	Day7	Yes	0	0.4482921130154097	0.09955289089242442	1260.7805443610828	4.503054697827193	7.318226916086273e-6	2.2841049846791005e-5	7	No	Yes	0.5345979242437595	0.08630581122834981	1	2	1.5	0.7345979242437595	***	0.15	3.15
CXCL10	Day*srf14	Day1	No	Day1	Yes	0	-0.48243942115309574	0.08752526714730258	1122.264491348046	-5.512001698220055	4.3994770022338996e-8	1.733911524409831e-7	1	No	Yes	0.6445389434743609	1.1269783646274567	1	2	1.5	1.3269783646274567	***	0.15	1.15
CXCL10	Day*srf14	Day4	No	Day4	Yes	0	-0.6076617461328623	0.08955405326772199	1168.4884025467313	-6.785418682460485	1.8356169499437456e-11	1.0851735498196849e-10	4	No	Yes	-0.2500233534382048	0.35763839269465747	1	2	1.5	0.5576383926946575	***	0.15	2.15
CXCL10	Day*srf14	Day7	No	Day7	Yes	0	-0.6088047118985624	0.08947547587107703	1167.4436965594366	-6.8041517071758735	1.6205965533418865e-11	9.6946400958845e-11	7	No	Yes	-0.6097324882956845	-9.277763971220453e-4	1	2	1.5	0.19907222360287796	***	0.15	3.15
DNER	Day*srf14	Day4	No	Day4	Yes	0	0.3651870763264764	0.10049370115874781	1088.1924318744473	3.633930008703709	2.9216929889136473e-4	6.97458777638531e-4	4	No	Yes	0.09255288188879511	-0.2726341944376813	1	2	1.5	0.29255288188879514	***	0.15	2.15
DNER	Day*srf14	Day7	No	Day7	Yes	0	0.630028141002193	0.10041074067129023	1086.9327212511646	6.274509447795884	5.056050953755739e-10	2.5031188219332597e-9	7	No	Yes	0.45997761835535483	-0.17005052264683812	1	2	1.5	0.6599776183553548	***	0.15	3.15
EN-RAGE	Day*srf14	Day4	No	Day4	Yes	0	-0.6550645789870042	0.1039808626781453	1260.2971796452387	-6.299857128658789	4.1084306178693164e-10	2.0748606889239513e-9	4	No	Yes	-0.18809990946089258	0.46696466952611165	1	2	1.5	0.6669646695261117	***	0.15	2.15
EN-RAGE	Day*srf14	Day7	No	Day7	Yes	0	-0.45370469680225045	0.1038851612364376	1259.5904811732653	-4.367367691422652	1.360718349290505e-5	4.0579286084182716e-5	7	No	Yes	0.04192115122298988	0.49562584802524035	1	2	1.5	0.6956258480252404	***	0.15	3.15
MCP-2	Day*srf14	Day1	No	Day1	Yes	0	-0.3929451781821539	0.09259248298299128	928.5808385533659	-4.243812948123831	2.4180700899828935e-5	6.9105884820048e-5	1	No	Yes	0.5992450761667577	0.9921902543489116	1	2	1.5	1.1921902543489116	***	0.15	1.15
MCP-2	Day*srf14	Day4	No	Day4	Yes	0	-0.38516829253193885	0.09421662366811455	970.6976173482938	-4.088113939305704	4.708726238210486e-5	1.2859428992938963e-4	4	No	Yes	-0.1646362608487249	0.22053203168321395	1	2	1.5	0.42053203168321396	***	0.15	2.15
CCL25	Day*srf14	Day4	No	Day4	Yes	0	0.4059060393550291	0.10405951293242369	1031.2145237908608	3.9007105445383425	1.021216960246488e-4	2.585196587021966e-4	4	No	Yes	0.1035325520763806	-0.30237348727864855	1	2	1.5	0.30353255207638064	***	0.15	2.15
CCL25	Day*srf14	Day7	No	Day7	Yes	0	0.48199839818398693	0.10397835922510036	1029.8601056481816	4.63556457109041	4.016322383856455e-6	1.2978790983201726e-5	7	No	Yes	0.1002713095690686	-0.3817270886149183	1	2	1.5	0.3002713095690686	***	0.15	3.15
CX3CL1	Day*srf14	Day1	No	Day1	Yes	0	-0.24632469777940463	0.1028952009916997	948.8505526916595	-2.393937670613764	0.016861897744630656	0.02919021778205342	1	No	Yes	0.07266598513389368	0.3189906829132983	1	2	1.5	0.5189906829132983	*	0.15	1.15
CX3CL1	Day*srf14	Day4	No	Day4	Yes	0	-0.43902234216916197	0.10476968603329184	992.0730587303789	-4.190356569644174	3.0334454518167574e-5	8.563518761448992e-5	4	No	Yes	-0.09191283499465382	0.34710950717450817	1	2	1.5	0.5471095071745082	***	0.15	2.15
CX3CL1	Day*srf14	Day7	No	Day7	Yes	0	-0.4290113834934846	0.1046917522365325	990.684749031245	-4.097852737474574	4.5109914104070925e-5	1.2379480722176584e-4	7	No	Yes	-0.10795158333127862	0.321059800162206	1	2	1.5	0.521059800162206	***	0.15	3.15
TNFRSF9	Day*srf14	Day1	No	Day1	Yes	0	0.31016108965009287	0.09507521716408401	1024.8579435795707	3.2622706410946862	0.0011417102855969209	0.0024998231743461998	1	No	Yes	0.12342938646888425	-0.18673170318120863	1	2	1.5	0.32342938646888425	**	0.15	1.15
TNFRSF9	Day*srf14	Day4	No	Day4	Yes	0	0.3409164114169316	0.09702981229827397	1070.8223770838586	3.5135223220770473	4.606686610181693e-4	0.0010692194095225408	4	No	Yes	0.20020000436773933	-0.14071640704919222	1	2	1.5	0.40020000436773934	**	0.15	2.15
TNFRSF9	Day*srf14	Day7	No	Day7	Yes	0	0.3634006980934161	0.0969509828027586	1069.528336491426	3.7482930815950017	1.8756760070421944e-4	4.6202313408759936e-4	7	No	Yes	0.5774561978141795	0.21405549972076338	1	2	1.5	0.7774561978141794	***	0.15	3.15
TWEAK	Day*srf14	Day1	No	Day1	Yes	0	0.2985286660999449	0.1018351030219298	1142.3250551528208	2.931490785016026	0.0034405806532584	0.00694334047494918	1	No	Yes	-0.04791372262417233	-0.3464423887241172	1	2	1.5	0.1520862773758277	**	0.15	1.15
TWEAK	Day*srf14	Day4	No	Day4	Yes	0	0.301080167099691	0.10424604214584651	1188.1494380893125	2.8881688062407362	0.003945173547656301	0.007882503807941517	4	No	Yes	0.06444331533941419	-0.23663685176027677	1	2	1.5	0.26444331533941423	**	0.15	2.15
TWEAK	Day*srf14	Day7	No	Day7	Yes	0	0.45500640519095104	0.104153465204706	1187.169984649561	4.368615142056669	1.3595507625999748e-5	4.0579286084182716e-5	7	No	Yes	0.406031285625585	-0.04897511956536604	1	2	1.5	0.606031285625585	***	0.15	3.15
CCL20	Day*srf14	Day1	No	Day1	Yes	0	-0.4368124461478728	0.09862299153398857	1097.595084878616	-4.42911373254515	1.040841332950191e-5	3.1489380972759114e-5	1	No	Yes	0.2367344727430047	0.6735469188908775	1	2	1.5	0.8735469188908775	***	0.15	1.15
CCL20	Day*srf14	Day4	No	Day4	Yes	0	-0.46561787361776386	0.10084700719632322	1144.0986874705782	-4.617071805723747	4.3321278460122235e-6	1.3865568424338486e-5	4	No	Yes	-0.13348874099833027	0.33212913261943355	1	2	1.5	0.5321291326194335	***	0.15	2.15
CCL20	Day*srf14	Day7	No	Day7	Yes	0	-0.5400463014677622	0.10075996339315436	1142.9795036978826	-5.359731020946887	1.0076294494309445e-7	3.8504471356581717e-7	7	No	Yes	-0.13508454643068285	0.40496175503707943	1	2	1.5	0.6049617550370794	***	0.15	3.15
TNFB	Day*srf14	Day1	No	Day1	Yes	0	0.28119771736693194	0.09510209058084146	1081.3112567228281	2.9567984851805127	0.0031760301670131063	0.006435303060177766	1	No	Yes	0.27410425502595925	-0.007093462340972686	1	2	1.5	0.47410425502595926	**	0.15	1.15
TNFB	Day*srf14	Day4	No	Day4	Yes	0	0.4873549732688166	0.0972060606617836	1127.8712840351382	5.013627442063593	6.198667685575041e-7	2.1858459733343566e-6	4	No	Yes	0.3274126151174383	-0.1599423581513783	1	2	1.5	0.5274126151174383	***	0.15	2.15
TNFB	Day*srf14	Day7	No	Day7	Yes	0	0.6262569712427233	0.09712315212961233	1126.7068078124616	6.448070902877759	1.677056499802269e-10	8.824302525137594e-10	7	No	Yes	0.39380443531248976	-0.2324525359302335	1	2	1.5	0.5938044353124898	***	0.15	3.15
