Assay	term	contrast	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
MCP-3	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.33468011116030877	0.11793177034249959	1090.796103310162	-2.837913059291188	0.004625107703439987	0.03098822161304791
MCP-3	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.6669796491210436	0.12041971770602651	1133.7667539734264	-5.538791003889424	3.7838949310021046e-8	8.450698679238033e-7
MCP-3	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.8995913157167303	0.11969256409844486	1120.3342189623463	-7.515849647742808	1.1539590408192019e-13	3.865762786744326e-12
CD244	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.5604929230035274	0.12212941358617757	1100.4737697762212	4.58933607020089	4.957788135692106e-6	4.745311501305301e-5
CD244	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.6913521021874659	0.12142238887183228	1087.1199942943779	5.693777800049911	1.5979119496800168e-8	2.1412020125712225e-7
OPG	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.2978141416633536	0.11038980200922523	1146.6482649763154	-2.697841070848786	0.007081488236541517	0.03649690091140628
OPG	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.4436284505075391	0.11286158335744553	1188.7002629660358	-3.930730345174381	8.957465362459754e-5	4.2867869948914536e-4
OPG	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6219179589153512	0.11213551555730096	1175.4114309742795	-5.546128323613519	3.605090757683366e-8	3.4505868680683646e-7
uPA	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.2949816987298635	0.12745674116004882	1212.7747786077691	-2.3143671809359363	0.02081399625373471	0.048087508586214675
uPA	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.29696349616478984	0.12661547940498183	1199.6612701496542	-2.345396452000524	0.019169076779664267	0.03777435718345606
