Assay	contrast	Day	estimate	SE	df	t.ratio	p.value	adj.p.value
DNER	No - Yes	1	0.07310142285973086	0.09842234183339871	1041.918411676934	0.7427320006617092	0.45781136880136997	0.4832453337347794
DNER	No - Yes	4	0.3651870763264764	0.10049370115874781	1088.1924318744473	3.633930008703709	2.9216929889136473e-4	5.046560617214482e-4
DNER	No - Yes	7	0.630028141002193	0.10041074067129023	1086.9327212511646	6.274509447795884	5.056050953755739e-10	1.3723566874479862e-9
EN-RAGE	No - Yes	1	-0.19588107065013582	0.10140377511462383	1217.3252568317034	-1.9316940659134008	0.053629149475069623	0.09263216727512026
EN-RAGE	No - Yes	4	-0.6550645789870042	0.1039808626781453	1260.2971796452387	-6.299857128658789	4.1084306178693164e-10	1.5612036347903402e-9
EN-RAGE	No - Yes	7	-0.45370469680225045	0.1038851612364376	1259.5904811732653	-4.367367691422652	1.360718349290505e-5	1.6158530397824745e-5
CCL25	No - Yes	1	0.1637625513213405	0.10207824072244596	986.3610294793451	1.6042846169989955	0.10897144968266008	0.1478898245693244
CCL25	No - Yes	4	0.4059060393550291	0.10405951293242369	1031.2145237908608	3.9007105445383425	1.021216960246488e-4	1.940312224468327e-4
CCL25	No - Yes	7	0.48199839818398693	0.10397835922510036	1029.8601056481816	4.63556457109041	4.016322383856455e-6	5.870009637944049e-6
TNFB	No - Yes	1	0.28119771736693194	0.09510209058084146	1081.3112567228281	2.9567984851805127	0.0031760301670131063	0.008620653310464146
TNFB	No - Yes	4	0.4873549732688166	0.0972060606617836	1127.8712840351382	5.013627442063593	6.198667685575041e-7	1.9019951752627663e-6
TNFB	No - Yes	7	0.6262569712427233	0.09712315212961233	1126.7068078124616	6.448070902877759	1.677056499802269e-10	5.310678916040519e-10
