Assay	term	TP1	TR1	TP2	TR2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
IL8	Day*Allocation	Day1	Anakinra	Day4	Anakinra	0	-0.3145560020525028	0.07357524975651564	1074.8292565898187	-4.27529642228155	2.0784038566239652e-5	4.6417686131268554e-5
IL8	Day*Allocation	Day1	Anakinra	Day7	Anakinra	0	-0.4628136548036434	0.07326191034530946	1077.4877114952742	-6.317247975410932	3.8881966952125794e-10	8.140911830601338e-10
IL8	Day*Allocation	Day1	Anakinra	Day1	Placebo	0	-0.14867373904079018	0.10135671038262357	1323.4120719083405	-1.466836665076677	0.142658074344498	0.9706901703326503
IL8	Day*Allocation	Day1	Anakinra	Day4	Placebo	0	-0.3982367637188983	0.10317238641248498	1348.338163470539	-3.8599161807379434	1.187930326041619e-4	4.97445824029928e-4
IL8	Day*Allocation	Day1	Anakinra	Day7	Placebo	0	-0.5002357396263367	0.10359523838886482	1355.050266125349	-4.828752241957346	1.5299352722620119e-6	4.456767967024122e-6
IL8	Day*Allocation	Day4	Anakinra	Day7	Anakinra	0	-0.14825765275114064	0.07397691670456286	1055.363855752182	-2.0041069478906275	0.04531377771627728	0.0706051885346646
IL8	Day*Allocation	Day4	Anakinra	Day1	Placebo	0	0.1658822630117126	0.10237764021410906	1336.3269085739478	1.6202977785460984	0.10540425710092473	0.15977898961748846
IL8	Day*Allocation	Day4	Anakinra	Day4	Placebo	0	-0.08368076166639557	0.10417626131454964	1360.1029407703234	-0.8032613247055392	0.42196405754615574	0.6988264267989749
IL8	Day*Allocation	Day4	Anakinra	Day7	Placebo	0	-0.18567973757383394	0.10459342086247564	1366.4170934233584	-1.7752525545366225	0.07607875081563392	0.15382275634112252
IL8	Day*Allocation	Day7	Anakinra	Day1	Placebo	0	0.3141399157628533	0.10206851871328534	1332.0122972984268	3.0777356203756145	0.002128373741310041	0.0036564369401993007
IL8	Day*Allocation	Day7	Anakinra	Day4	Placebo	0	0.06457689108474507	0.10386874366873837	1355.9969278817737	0.6217163008218894	0.5342329399472361	0.5965601162744136
IL8	Day*Allocation	Day7	Anakinra	Day7	Placebo	0	-0.0374220848226933	0.10429414050869279	1362.763131038002	-0.3588129173908309	0.7197906292017346	0.8768358573912041
IL8	Day*Allocation	Day1	Placebo	Day4	Placebo	0	-0.24956302467810818	0.09277166871305238	1068.497811148986	-2.6900779962255466	0.007254890541265135	0.013609710377961265
IL8	Day*Allocation	Day1	Placebo	Day7	Placebo	0	-0.35156200058554654	0.09324493938184976	1071.853003346511	-3.7703064950887675	1.7194919787265114e-4	2.809901526211616e-4
IL8	Day*Allocation	Day4	Placebo	Day7	Placebo	0	-0.10199897590743837	0.09470161967555181	1064.9236584253426	-1.0770562980536904	0.28169903990677764	0.41030077551639355
VEGFA	Day*Allocation	Day1	Anakinra	Day4	Anakinra	0	0.07841798927624458	0.05589154634922808	1043.7304173271843	1.4030384628520411	0.16090277107778952	0.2200099114737122
VEGFA	Day*Allocation	Day1	Anakinra	Day7	Anakinra	0	0.01465560488388351	0.05568536340566971	1046.2430127832893	0.26318594308376775	0.7924590851519047	0.8044660409875396
VEGFA	Day*Allocation	Day1	Anakinra	Day1	Placebo	0	-0.01600514287478115	0.10191688948179499	949.34834002406	-0.15704112396051967	0.8752458293689949	0.9706901703326503
VEGFA	Day*Allocation	Day1	Anakinra	Day4	Placebo	0	-0.12062087142149258	0.1031012601566503	977.7552171093143	-1.1699262573340352	0.2423157406586791	0.34676840325523506
VEGFA	Day*Allocation	Day1	Anakinra	Day7	Placebo	0	-0.11808792692938605	0.10336286389117187	984.5207913320875	-1.1424598979157332	0.2535406635301671	0.29288318028484817
VEGFA	Day*Allocation	Day4	Anakinra	Day7	Anakinra	0	-0.06376238439236107	0.05599777401442607	1030.005706196261	-1.138659268419039	0.25511005958622224	0.32249762249579034
VEGFA	Day*Allocation	Day4	Anakinra	Day1	Placebo	0	-0.09442313215102573	0.10259949992365006	965.124928832973	-0.9203079178874282	0.357641839993848	0.47924006559175636
VEGFA	Day*Allocation	Day4	Anakinra	Day4	Placebo	0	-0.19903886069773716	0.10377625924269654	993.1353434502397	-1.9179614118895398	0.05540242847356437	0.34442352886713956
VEGFA	Day*Allocation	Day4	Anakinra	Day7	Placebo	0	-0.19650591620563063	0.10403578793022117	999.7797946958225	-1.8888299893247407	0.059203851540321394	0.12795671139359785
VEGFA	Day*Allocation	Day7	Anakinra	Day1	Placebo	0	-0.03066074775866466	0.10239905735617702	960.2592056385712	-0.29942412118127876	0.764681254408718	0.7762673340209714
VEGFA	Day*Allocation	Day7	Anakinra	Day4	Placebo	0	-0.1352764763053761	0.10357700792262818	988.324174331061	-1.30604734601358	0.191840344582728	0.26231230789883214
VEGFA	Day*Allocation	Day7	Anakinra	Day7	Placebo	0	-0.13274353181326956	0.10383891179580346	995.1183927882148	-1.278360197709952	0.2014205288677687	0.5378764150311666
VEGFA	Day*Allocation	Day1	Placebo	Day4	Placebo	0	-0.10461572854671143	0.07041396618695366	1041.329097136083	-1.4857241284910705	0.13765477508605592	0.17724281660755742
VEGFA	Day*Allocation	Day1	Placebo	Day7	Placebo	0	-0.10208278405460491	0.0708084969080447	1042.9376552520557	-1.441674213013934	0.14969449353401923	0.1729229494272291
VEGFA	Day*Allocation	Day4	Placebo	Day7	Placebo	0	0.0025329444921065244	0.07180777358644022	1036.468726440587	0.03527395942804765	0.9718680797358191	0.975450837922572
CD8A	Day*Allocation	Day1	Anakinra	Day4	Anakinra	0	0.35042132095389733	0.0634469210141383	1056.584504909454	5.523062669594488	4.193181572420126e-8	1.2214920232702106e-7
CD8A	Day*Allocation	Day1	Anakinra	Day7	Anakinra	0	0.340126251112688	0.06319667348145724	1059.3687794611224	5.382027761516366	9.065987479911571e-8	1.7354890318687866e-7
CD8A	Day*Allocation	Day1	Anakinra	Day1	Placebo	0	0.04056226124497609	0.10073465110647756	1104.5758199240206	0.4026644337319575	0.6872730168256216	0.9706901703326503
CD8A	Day*Allocation	Day1	Anakinra	Day4	Placebo	0	0.2547045439593855	0.10220484171385832	1135.8985429775823	2.4920986098924627	0.012840781740529845	0.02827118779195169
CD8A	Day*Allocation	Day1	Anakinra	Day7	Placebo	0	0.26339622103257776	0.10253676334798413	1143.719224538569	2.568797887043468	0.01033115185643879	0.01609737614840463
CD8A	Day*Allocation	Day4	Anakinra	Day7	Anakinra	0	-0.010295069841209273	0.06366083711998857	1039.8126483130748	-0.16171747509076928	0.8715597593324225	0.8983769826964969
CD8A	Day*Allocation	Day4	Anakinra	Day1	Placebo	0	-0.3098590597089212	0.10157338267468655	1121.526977597136	-3.0505930938749986	0.0023375402157032018	0.0055933998018612326
CD8A	Day*Allocation	Day4	Anakinra	Day4	Placebo	0	-0.09571677699451181	0.10303195166263947	1152.0143763653323	-0.9290009113669908	0.35308322367391176	0.6988264267989749
CD8A	Day*Allocation	Day4	Anakinra	Day7	Placebo	0	-0.08702509992131954	0.10336046626053634	1159.5750733206069	-0.8419573079513696	0.3999854585795942	0.4962782541635706
CD8A	Day*Allocation	Day7	Anakinra	Day1	Placebo	0	-0.29956398986771193	0.10132381455372387	1116.1310401352841	-2.9565013041319843	0.003176948475280153	0.005191598727896835
CD8A	Day*Allocation	Day7	Anakinra	Day4	Placebo	0	-0.08542170715330252	0.10278395128750109	1146.7634030739566	-0.8310802035073166	0.40610132376854036	0.4858712266516465
CD8A	Day*Allocation	Day7	Anakinra	Day7	Placebo	0	-0.07673003008011027	0.10311677257546359	1154.6131733764516	-0.7441081422904038	0.4569624578082706	0.7133887951845337
CD8A	Day*Allocation	Day1	Placebo	Day4	Placebo	0	0.2141422827144094	0.07995572067405379	1052.74891105299	2.6782609287880526	0.007515810208724878	0.013609710377961265
CD8A	Day*Allocation	Day1	Placebo	Day7	Placebo	0	0.22283395978760168	0.0803889505389608	1055.0326574066678	2.7719476158555447	0.005670238368708064	0.008083105759647666
CD8A	Day*Allocation	Day4	Placebo	Day7	Placebo	0	0.00869167707319226	0.08157754894327751	1047.8177063406551	0.10654496470880433	0.9151703761944973	0.9433294646927893
MCP-3	Day*Allocation	Day1	Anakinra	Day4	Anakinra	0	0.31834231858629086	0.058990415551301856	1056.5829170255568	5.396509172061009	8.386771535333046e-8	2.2386461091164313e-7
MCP-3	Day*Allocation	Day1	Anakinra	Day7	Anakinra	0	0.4643669266520794	0.058757747149326606	1059.3671767137382	7.903075750537881	6.789695885817949e-15	1.8954567681241773e-14
MCP-3	Day*Allocation	Day1	Anakinra	Day1	Placebo	0	-0.12441464734782237	0.09366043349932723	1104.5562832310368	-1.328358653696772	0.18433403894560207	0.9706901703326503
