Assay	term	contrast	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	y_position	label	x_offset	x_pos
IL8	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.583180256828892	0.16449436346997665	1348.5123950434106	-3.545290212544781	4.055964692472796e-4	0.0030194403821741924	4	Placebo.No	Placebo.Yes	-0.09960464726992332	0.4835756095589686	0.6835756095589687	**	0.15	2.15
VEGFA	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.5433550264182375	0.16424808208513678	983.7390964249661	-3.3081362017767333	9.732299961073465e-4	0.005433867478266017	4	Placebo.No	Placebo.Yes	-0.067274616036789	0.4760804103814485	0.6760804103814485	**	0.15	2.15
MCP-3	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.5955462129306668	0.14801262586364802	1090.8303101176487	-4.023617643803543	6.126367197695432e-5	0.003838770932365551	1	Placebo.No	Placebo.Yes	0.17028711585937742	0.7658333287900443	0.9658333287900442	**	0.15	1.15
MCP-3	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.9449175236344735	0.15146537984351496	1140.413165606622	-6.238504961402441	6.214611629968011e-10	2.0818948960392835e-8	4	Placebo.No	Placebo.Yes	-0.2536140772511756	0.6913034463832979	0.8913034463832978	***	0.15	2.15
MCP-3	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.8512384209959564	0.15202493678177326	1149.6676576487546	-5.599334155408207	2.6899277234786936e-8	9.011257873653624e-7	7	Placebo.No	Placebo.Yes	-0.40278692552559864	0.44845149547035773	0.6484514954703577	***	0.15	3.15
CD244	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.4274787608303562	0.1535972512067519	1106.8499471103573	2.783114655189642	0.0054755769958100865	0.022040587756453366	4	Placebo.No	Placebo.Yes	0.11652309881344876	-0.3109556620169074	0.31652309881344876	*	0.15	2.15
CD244	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.792835023022726	0.15413834848356783	1115.937595681683	5.143658478391232	3.1806860241229435e-7	4.262119272324745e-6	7	Placebo.No	Placebo.Yes	0.3461152996671956	-0.4467197233555304	0.5461152996671956	***	0.15	3.15
OPG	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.44759797128846956	0.1385472195462432	1146.8289380508922	-3.2306528615615693	0.0012701667531550504	0.012288201699650938	1	Placebo.No	Placebo.Yes	0.22312875997103662	0.6707267312595062	0.8707267312595062	*	0.15	1.15
OPG	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.7230387212629985	0.1419873322920963	1195.720653518592	-5.092276258670481	4.1070001038127634e-7	4.5861501159242525e-6	4	Placebo.No	Placebo.Yes	-0.14635195043359772	0.5766867708294009	0.776686770829401	***	0.15	2.15
IL6	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.4369995237403137	0.14199352312666022	1152.8979906762825	-3.077601809700179	0.0021359815771024027	0.016287968853749966	1	Placebo.No	Placebo.Yes	0.40015218826552734	0.837151712005841	1.037151712005841	*	0.15	1.15
