term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	protein_var	protein	hr_ci
IL6:AllocationAnakinra	1.093515892813718	0.2564384344939901	0.3486142594032249	0.7273789211190141	0.6615220246722574	1.8076148083332757	joint	IL6	IL-6	1·09 (0·66–1·81)
PD.L1:AllocationAnakinra	0.4603191101468103	0.2565299061775639	-3.0243464548044963	0.002491709164964366	0.2784199511809523	0.7610578274566112	joint	PD.L1	PD-L1	0·46 (0·28–0·76)
TNFB:AllocationAnakinra	1.1594037888421267	0.21736377090282483	0.6804533121474138	0.49621747432967295	0.7572065081508349	1.7752318965986906	joint	TNFB	TNF-B	1·16 (0·76–1·78)
