Protein	Protein_label	Source	Arm	AUC	CI_lower	CI_upper	Direction	Threshold_in_sample	Sensitivity_in_sample	Specificity_in_sample	Threshold_cv	Sensitivity_cv	Specificity_cv	n_cv_folds	n	n_srf
CRP	CRP	Clinical	Placebo	0.6976120857699806	0.5986586152027878	0.7965655563371731	<	59.375	0.75	0.7192982456140351	59.377	0.75	0.7201581027667985	5	150	36
suPAR	suPAR	Clinical	Placebo	0.5723180076628352	0.46730291996472906	0.6773330953609414	<	7.25	0.75	0.4051724137931034	8.07	0.44285714285714284	0.5608695652173913	5	152	36
CRP	CRP	Clinical	Anakinra	0.654678992022287	0.5796572316380296	0.7297007524065443	<	37.47	0.8679245283018868	0.4463087248322148	38.025999999999996	0.8309090909090909	0.44937853107344633	5	351	53
suPAR	suPAR	Clinical	Anakinra	0.6154161670978734	0.5327735406359662	0.6980587935597806	<	7.65	0.6792452830188679	0.5484949832775919	8.030000000000001	0.5490909090909091	0.6079661016949153	5	352	53
CRP	CRP	Clinical	Global	0.6631395221991928	0.6044196998227359	0.7218593445756495	<	55.69	0.6966292134831461	0.6043689320388349	52.657000000000004	0.6849673202614379	0.573053188363209	5	501	89
suPAR	suPAR	Clinical	Global	0.600297820495465	0.5359191297021018	0.6646765112888282	<	7.65	0.6404494382022472	0.5518072289156627	7.61	0.6418300653594771	0.5228915662650603	5	504	89
