term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
PD.L1	2.753602209829296	0.2200404436081107	4.603289887937642	4.1586873402906804e-6	1.7889674402419606	4.238380732603642	Placebo
IL6	1.988031462759577	0.21308479143284187	3.2247488421224593	0.0012608322821555226	1.309318034859444	3.018570730484333	Placebo
TNFB	0.6379224669851087	0.1663353718853949	-2.702603318995573	0.0068798798747546986	0.4604505251161183	0.8837976105722586	Placebo
Age	0.9922222956193464	0.015674185503295652	-0.49815082727629917	0.6183777380264786	0.9622038508937321	1.0231772435847968	Placebo
cbmi	1.038419064057136	0.03417577399917284	1.1031037912693924	0.2699820946149895	0.9711407570169268	1.1103582511659569	Placebo
GenderMale	1.9321136715315907	0.3835270886392625	1.7172569807070386	0.08593222849904365	0.9111163158423475	4.097241125868745	Placebo
DEXcorrectedYes	3.8064652597900825	0.7594336299811953	1.7601288017838763	0.07838597035702356	0.8591931238405133	16.8637031325664	Placebo
