term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
PD.L1	1.5064184121459836	0.11738354537874998	3.4905652200078565	4.81999950393935e-4	1.196819234336941	1.8961062517596121	pooled_multivariate
IL6	1.9716005487812327	0.12550863262611325	5.408756832005314	6.346372814850909e-8	1.5416500047314066	2.521459937096232	pooled_multivariate
TNFB	0.7527176874814626	0.11193750608738712	-2.5377109820789543	0.011158008925623552	0.6044365852147284	0.9373752861868209	pooled_multivariate
AllocationAnakinra	0.6239569989952539	0.2218240306182044	-2.126342324315843	0.033474766338117114	0.403959386002583	0.963766037095308	pooled_multivariate
Age	0.9997430327353426	0.009330642624935413	-0.027543685545870247	0.9780260970242766	0.9816261715732862	1.0181942581063719	pooled_multivariate
cbmi	1.0429201617892978	0.01950903142390943	2.154111368890846	0.031231439181303604	1.0037948095477898	1.0835705201111934	pooled_multivariate
GenderMale	1.1667293602947368	0.2311275676778285	0.6671831375558471	0.5046551607179124	0.7417097441742224	1.8352966384300544	pooled_multivariate
DEXcorrectedYes	6.8558220872192654	0.595026854658486	3.235313189561555	0.0012150936861521475	2.1358549811116587	22.006314523816602	pooled_multivariate
